rl	V(vout)	-I(Rl)
1.030000000100001e+000	1.948586e+000	1.891831e+000
1.040000000100001e+000	1.956100e+000	1.880866e+000
1.050000000100001e+000	1.962890e+000	1.869419e+000
1.060000000100001e+000	1.968972e+000	1.857521e+000
1.070000000100001e+000	1.974374e+000	1.845210e+000
1.080000000100001e+000	1.979131e+000	1.832529e+000
1.090000000100001e+000	1.983285e+000	1.819528e+000
1.100000000100001e+000	1.986885e+000	1.806259e+000
1.110000000100001e+000	1.989983e+000	1.792778e+000
1.120000000100001e+000	1.992633e+000	1.779136e+000
1.130000000100001e+000	1.994886e+000	1.765386e+000
1.140000000100001e+000	1.996795e+000	1.751575e+000
1.150000000100001e+000	1.998406e+000	1.737744e+000
1.160000000100001e+000	1.999762e+000	1.723933e+000
1.170000000100001e+000	2.000901e+000	1.710172e+000
1.180000000100001e+000	2.001857e+000	1.696489e+000
1.190000000100001e+000	2.002659e+000	1.682907e+000
1.200000000100001e+000	2.003331e+000	1.669443e+000
1.210000000100001e+000	2.003896e+000	1.656112e+000
1.220000000100001e+000	2.004369e+000	1.642926e+000
1.230000000100001e+000	2.004768e+000	1.629892e+000
1.240000000100001e+000	2.005103e+000	1.617019e+000
1.250000000100001e+000	2.005386e+000	1.604308e+000
1.260000000100001e+000	2.005624e+000	1.591765e+000
1.270000000100001e+000	2.005826e+000	1.579391e+000
1.280000000100001e+000	2.005997e+000	1.567186e+000
1.290000000100001e+000	2.006143e+000	1.555149e+000
1.300000000100001e+000	2.006267e+000	1.543282e+000
1.310000000100001e+000	2.006372e+000	1.531582e+000
1.320000000100001e+000	2.006462e+000	1.520047e+000
1.330000000100001e+000	2.006539e+000	1.508676e+000
1.340000000100001e+000	2.006606e+000	1.497467e+000
1.350000000100001e+000	2.006663e+000	1.486417e+000
1.360000000100001e+000	2.006712e+000	1.475523e+000
1.370000000100001e+000	2.006754e+000	1.464784e+000
1.380000000100001e+000	2.006791e+000	1.454196e+000
1.390000000100001e+000	2.006758e+000	1.443711e+000
1.400000000100001e+000	2.006851e+000	1.433465e+000
1.410000000100001e+000	2.006875e+000	1.423316e+000
1.420000000100001e+000	2.006896e+000	1.413307e+000
1.430000000100001e+000	2.006915e+000	1.403437e+000
1.440000000100001e+000	2.006931e+000	1.393702e+000
1.450000000100001e+000	2.006945e+000	1.384100e+000
1.460000000100001e+000	2.006958e+000	1.374628e+000
1.470000000100001e+000	2.006969e+000	1.365285e+000
1.480000000100001e+000	2.006979e+000	1.356066e+000
1.490000000100001e+000	2.006987e+000	1.346971e+000
1.500000000100001e+000	2.006995e+000	1.337997e+000
1.510000000100001e+000	2.007002e+000	1.329140e+000
1.520000000100001e+000	2.007008e+000	1.320400e+000
1.530000000100001e+000	2.007013e+000	1.311773e+000
1.540000000100001e+000	2.007018e+000	1.303259e+000
1.550000000100001e+000	2.007023e+000	1.294853e+000
1.560000000100001e+000	2.007027e+000	1.286556e+000
1.570000000100001e+000	2.007030e+000	1.278363e+000
1.580000000100001e+000	2.007034e+000	1.270274e+000
1.590000000100001e+000	2.007036e+000	1.262287e+000
1.600000000100001e+000	2.007039e+000	1.254400e+000
1.610000000100001e+000	2.007042e+000	1.246610e+000
1.620000000100001e+000	2.007044e+000	1.238916e+000
1.630000000100001e+000	2.007046e+000	1.231317e+000
1.640000000100001e+000	2.007048e+000	1.223810e+000
1.650000000100001e+000	2.007050e+000	1.216394e+000
1.660000000100001e+000	2.007051e+000	1.209067e+000
1.670000000100001e+000	2.007053e+000	1.201828e+000
1.680000000100001e+000	2.007054e+000	1.194675e+000
1.690000000100001e+000	2.007056e+000	1.187607e+000
1.700000000100001e+000	2.007055e+000	1.180621e+000
1.710000000100001e+000	2.007058e+000	1.173718e+000
1.720000000100001e+000	2.007059e+000	1.166895e+000
1.730000000100001e+000	2.007060e+000	1.160150e+000
1.740000000100001e+000	2.007061e+000	1.153483e+000
1.750000000100001e+000	2.007062e+000	1.146892e+000
1.760000000100001e+000	2.007062e+000	1.140376e+000
1.770000000100001e+000	2.007063e+000	1.133934e+000
1.780000000100001e+000	2.007064e+000	1.127564e+000
1.790000000100001e+000	2.007065e+000	1.121265e+000
1.800000000100001e+000	2.007065e+000	1.115036e+000
1.810000000100001e+000	2.007066e+000	1.108876e+000
1.820000000100001e+000	2.007067e+000	1.102784e+000
1.830000000100001e+000	2.007067e+000	1.096758e+000
1.840000000100001e+000	2.007068e+000	1.090798e+000
1.850000000100001e+000	2.007068e+000	1.084902e+000
1.860000000100001e+000	2.007069e+000	1.079069e+000
1.870000000100001e+000	2.007069e+000	1.073299e+000
1.880000000100002e+000	2.007070e+000	1.067590e+000
1.890000000100002e+000	2.007070e+000	1.061942e+000
1.900000000100002e+000	2.007071e+000	1.056353e+000
1.910000000100002e+000	2.007071e+000	1.050823e+000
1.920000000100002e+000	2.007072e+000	1.045350e+000
1.930000000100002e+000	2.007072e+000	1.039934e+000
1.940000000100002e+000	2.007073e+000	1.034574e+000
1.950000000100002e+000	2.007073e+000	1.029268e+000
1.960000000100002e+000	2.007073e+000	1.024017e+000
1.970000000100002e+000	2.007074e+000	1.018819e+000
