rl	V(current_feedback)	V(voltage_feedback)	V(vout)	-I(Rl)
7.300000001000004e-001	1.026826e+000	1.760848e-001	1.498449e+000	2.052670e+000
7.400000001000004e-001	1.026815e+000	1.781290e-001	1.518961e+000	2.052650e+000
7.500000001000005e-001	1.026805e+000	1.801731e-001	1.539472e+000	2.052630e+000
7.600000001000005e-001	1.026794e+000	1.822171e-001	1.559983e+000	2.052610e+000
7.700000001000005e-001	1.026783e+000	1.842612e-001	1.580494e+000	2.052590e+000
7.800000001000005e-001	1.026773e+000	1.863052e-001	1.601004e+000	2.052570e+000
7.900000001000005e-001	1.026762e+000	1.883491e-001	1.621514e+000	2.052550e+000
8.000000001000005e-001	1.026751e+000	1.903930e-001	1.642024e+000	2.052530e+000
8.100000001000005e-001	1.026740e+000	1.924369e-001	1.662533e+000	2.052510e+000
8.200000001000005e-001	1.026730e+000	1.944807e-001	1.683041e+000	2.052490e+000
8.300000001000005e-001	1.026719e+000	1.965245e-001	1.703550e+000	2.052469e+000
8.400000001000005e-001	1.026708e+000	1.985683e-001	1.724058e+000	2.052449e+000
8.500000001000005e-001	1.026698e+000	2.006120e-001	1.744565e+000	2.052429e+000
8.600000001000006e-001	1.026687e+000	2.026556e-001	1.765072e+000	2.052409e+000
8.700000001000006e-001	1.026676e+000	2.046993e-001	1.785579e+000	2.052389e+000
8.800000001000006e-001	1.026665e+000	2.067429e-001	1.806085e+000	2.052369e+000
8.900000001000006e-001	1.026655e+000	2.087864e-001	1.826591e+000	2.052349e+000
9.000000001000006e-001	1.026658e+000	2.108324e-001	1.847121e+000	2.052356e+000
9.100000001000006e-001	1.026633e+000	2.128735e-001	1.867602e+000	2.052310e+000
9.200000001000006e-001	1.026623e+000	2.149169e-001	1.888106e+000	2.052289e+000
9.300000001000006e-001	1.026612e+000	2.169603e-001	1.908611e+000	2.052269e+000
9.400000001000006e-001	1.026601e+000	2.190037e-001	1.929115e+000	2.052250e+000
9.500000001000006e-001	1.026591e+000	2.210470e-001	1.949618e+000	2.052230e+000
9.600000001000006e-001	1.026580e+000	2.230903e-001	1.970121e+000	2.052210e+000
9.700000001000007e-001	1.026569e+000	2.251336e-001	1.990624e+000	2.052190e+000
9.800000001000007e-001	1.026559e+000	2.271768e-001	2.011127e+000	2.052170e+000
9.900000001000007e-001	1.026548e+000	2.292200e-001	2.031628e+000	2.052150e+000
1.000000000100001e+000	1.026537e+000	2.312631e-001	2.052130e+000	2.052130e+000
1.010000000100001e+000	1.026527e+000	2.333062e-001	2.072631e+000	2.052110e+000
1.020000000100001e+000	1.026516e+000	2.353493e-001	2.093132e+000	2.052090e+000
1.030000000100001e+000	1.026506e+000	2.373923e-001	2.113632e+000	2.052070e+000
1.040000000100001e+000	1.026495e+000	2.394353e-001	2.134132e+000	2.052050e+000
