Freq.	V(vout)
1.32434153519466e-001	(-3.18948173052288e-002dB,-1.85242158226215e-006°)
1.32739445772973e-001	(-3.18948173052288e-002dB,-1.85669185502988e-006°)
1.33045441797808e-001	(-3.18948173052298e-002dB,-1.86097197179303e-006°)
1.33352143216331e-001	(-3.18948173052298e-002dB,-1.86526195524430e-006°)
1.33659551654643e-001	(-3.18948173052288e-002dB,-1.86956182812880e-006°)
1.33967668742593e-001	(-3.18948173052298e-002dB,-1.87387161324400e-006°)
1.34276496113785e-001	(-3.18948173052288e-002dB,-1.87819133343993e-006°)
1.34586035405594e-001	(-3.18948173052298e-002dB,-1.88252101161935e-006°)
1.34896288259164e-001	(-3.18948173052269e-002dB,-1.88686067073779e-006°)
1.35207256319427e-001	(-3.18948173052269e-002dB,-1.89121033380368e-006°)
1.35518941235103e-001	(-3.18948173052288e-002dB,-1.89557002387848e-006°)
1.35831344658714e-001	(-3.18948173052269e-002dB,-1.89993976407686e-006°)
1.36144468246594e-001	(-3.18948173052269e-002dB,-1.90431957756670e-006°)
1.36458313658891e-001	(-3.18948173052269e-002dB,-1.90870948756941e-006°)
1.36772882559584e-001	(-3.18948173052269e-002dB,-1.91310951735981e-006°)
1.37088176616484e-001	(-3.18948173052288e-002dB,-1.91751969026640e-006°)
1.37404197501250e-001	(-3.18948173052288e-002dB,-1.92194002967153e-006°)
1.37720946889394e-001	(-3.18948173052269e-002dB,-1.92637055901137e-006°)
1.38038426460287e-001	(-3.18948173052269e-002dB,-1.93081130177615e-006°)
1.38356637897177e-001	(-3.18948173052269e-002dB,-1.93526228151023e-006°)
1.38675582887188e-001	(-3.18948173052269e-002dB,-1.93972352181229e-006°)
1.38995263121334e-001	(-3.18948173052269e-002dB,-1.94419504633541e-006°)
1.39315680294529e-001	(-3.18948173052269e-002dB,-1.94867687878702e-006°)
1.39636836105593e-001	(-3.18948173052288e-002dB,-1.95316904292956e-006°)
1.39958732257261e-001	(-3.18948173052288e-002dB,-1.95767156257991e-006°)
1.40281370456195e-001	(-3.18948173052317e-002dB,-1.96218446160995e-006°)
1.40604752412990e-001	(-3.18948173052307e-002dB,-1.96670776394677e-006°)
1.40928879842186e-001	(-3.18948173052288e-002dB,-1.97124149357231e-006°)
1.41253754462274e-001	(-3.18948173052288e-002dB,-1.97578567452401e-006°)
1.41579377995707e-001	(-3.18948173052307e-002dB,-1.98034033089468e-006°)
1.41905752168908e-001	(-3.18948173052307e-002dB,-1.98490548683268e-006°)
1.42232878712281e-001	(-3.18948173052288e-002dB,-1.98948116654195e-006°)
1.42560759360218e-001	(-3.18948173052307e-002dB,-1.99406739428230e-006°)
1.42889395851109e-001	(-3.18948173052288e-002dB,-1.99866419436951e-006°)
1.43218789927353e-001	(-3.18948173052288e-002dB,-2.00327159117532e-006°)
1.43548943335364e-001	(-3.18948173052307e-002dB,-2.00788960912765e-006°)
1.43879857825583e-001	(-3.18948173052288e-002dB,-2.01251827271083e-006°)
1.44211535152486e-001	(-3.18948173052307e-002dB,-2.01715760646553e-006°)
1.44543977074591e-001	(-3.18948173052307e-002dB,-2.02180763498913e-006°)
1.44877185354475e-001	(-3.18948173052307e-002dB,-2.02646838293550e-006°)
1.45211161758773e-001	(-3.18948173052307e-002dB,-2.03113987501547e-006°)
1.45545908058195e-001	(-3.18948173052307e-002dB,-2.03582213599692e-006°)
1.45881426027534e-001	(-3.18948173052307e-002dB,-2.04051519070463e-006°)
1.46217717445671e-001	(-3.18948173052307e-002dB,-2.04521906402082e-006°)
1.46554784095590e-001	(-3.18948173052307e-002dB,-2.04993378088483e-006°)
1.46892627764385e-001	(-3.18948173052307e-002dB,-2.05465936629366e-006°)
1.47231250243271e-001	(-3.18948173052278e-002dB,-2.05939584530199e-006°)
1.47570653327588e-001	(-3.18948173052278e-002dB,-2.06414324302205e-006°)
1.47910838816819e-001	(-3.18948173052278e-002dB,-2.06890158462407e-006°)
1.48251808514594e-001	(-3.18948173052278e-002dB,-2.07367089533639e-006°)
1.48593564228699e-001	(-3.18948173052288e-002dB,-2.07845120044535e-006°)
1.48936107771090e-001	(-3.18948173052307e-002dB,-2.08324252529567e-006°)
1.49279440957898e-001	(-3.18948173052307e-002dB,-2.08804489529051e-006°)
1.49623565609442e-001	(-3.18948173052307e-002dB,-2.09285833589149e-006°)
1.49968483550236e-001	(-3.18948173052307e-002dB,-2.09768287261901e-006°)
1.50314196609001e-001	(-3.18948173052307e-002dB,-2.10251853105236e-006°)
1.50660706618673e-001	(-3.18948173052307e-002dB,-2.10736533682961e-006°)
1.51008015416413e-001	(-3.18948173052307e-002dB,-2.11222331564813e-006°)
1.51356124843619e-001	(-3.18948173052327e-002dB,-2.11709249326436e-006°)
1.51705036745932e-001	(-3.18948173052356e-002dB,-2.12197289549430e-006°)
1.52054752973248e-001	(-3.18948173052327e-002dB,-2.12686454821324e-006°)
1.52405275379728e-001	(-3.18948173052327e-002dB,-2.13176747735633e-006°)
1.52756605823806e-001	(-3.18948173052327e-002dB,-2.13668170891836e-006°)
1.53108746168202e-001	(-3.18948173052356e-002dB,-2.14160726895406e-006°)
1.53461698279928e-001	(-3.18948173052346e-002dB,-2.14654418357841e-006°)
1.53815464030302e-001	(-3.18948173052317e-002dB,-2.15149247896630e-006°)
1.54170045294954e-001	(-3.18948173052346e-002dB,-2.15645218135311e-006°)
1.54525443953840e-001	(-3.18948173052346e-002dB,-2.16142331703474e-006°)
1.54881661891247e-001	(-3.18948173052346e-002dB,-2.16640591236760e-006°)
1.55238700995807e-001	(-3.18948173052346e-002dB,-2.17139999376900e-006°)
1.55596563160506e-001	(-3.18948173052346e-002dB,-2.17640558771699e-006°)
1.55955250282694e-001	(-3.18948173052346e-002dB,-2.18142272075074e-006°)
1.56314764264094e-001	(-3.18948173052346e-002dB,-2.18645141947061e-006°)
1.56675107010813e-001	(-3.18948173052346e-002dB,-2.19149171053826e-006°)
1.57036280433354e-001	(-3.18948173052346e-002dB,-2.19654362067682e-006°)
1.57398286446620e-001	(-3.18948173052346e-002dB,-2.20160717667094e-006°)
1.57761126969933e-001	(-3.18948173052346e-002dB,-2.20668240536719e-006°)
1.58124803927037e-001	(-3.18948173052346e-002dB,-2.21176933367386e-006°)
1.58489319246110e-001	(-3.18948173052298e-002dB,-2.21686798856138e-006°)
1.58854674859776e-001	(-3.18948173052298e-002dB,-2.22197839706229e-006°)
1.59220872705115e-001	(-3.18948173052298e-002dB,-2.22710058627147e-006°)
1.59587914723672e-001	(-3.18948173052298e-002dB,-2.23223458334627e-006°)
1.59955802861465e-001	(-3.18948173052317e-002dB,-2.23738041550657e-006°)
1.60324539069002e-001	(-3.18948173052317e-002dB,-2.24253811003514e-006°)
1.60694125301286e-001	(-3.18948173052346e-002dB,-2.24770769427757e-006°)
1.61064563517825e-001	(-3.18948173052317e-002dB,-2.25288919564239e-006°)
1.61435855682647e-001	(-3.18948173052346e-002dB,-2.25808264160147e-006°)
1.61808003764305e-001	(-3.18948173052346e-002dB,-2.26328805968995e-006°)
1.62181009735891e-001	(-3.18948173052346e-002dB,-2.26850547750637e-006°)
1.62554875575047e-001	(-3.18948173052366e-002dB,-2.27373492271305e-006°)
1.62929603263970e-001	(-3.18948173052346e-002dB,-2.27897642303596e-006°)
1.63305194789432e-001	(-3.18948173052346e-002dB,-2.28423000626496e-006°)
1.63681652142779e-001	(-3.18948173052385e-002dB,-2.28949570025410e-006°)
1.64058977319952e-001	(-3.18948173052404e-002dB,-2.29477353292149e-006°)
1.64437172321491e-001	(-3.18948173052385e-002dB,-2.30006353224974e-006°)
1.64816239152549e-001	(-3.18948173052385e-002dB,-2.30536572628589e-006°)
1.65196179822900e-001	(-3.18948173052395e-002dB,-2.31068014314159e-006°)
1.65576996346951e-001	(-3.18948173052375e-002dB,-2.31600681099341e-006°)
1.65958690743754e-001	(-3.18948173052395e-002dB,-2.32134575808279e-006°)
1.66341265037015e-001	(-3.18948173052375e-002dB,-2.32669701271627e-006°)
1.66724721255104e-001	(-3.18948173052375e-002dB,-2.33206060326573e-006°)
1.67109061431069e-001	(-3.18948173052375e-002dB,-2.33743655816835e-006°)
1.67494287602642e-001	(-3.18948173052414e-002dB,-2.34282490592694e-006°)
1.67880401812254e-001	(-3.18948173052414e-002dB,-2.34822567510992e-006°)
1.68267406107045e-001	(-3.18948173052414e-002dB,-2.35363889435169e-006°)
1.68655302538872e-001	(-3.18948173052414e-002dB,-2.35906459235256e-006°)
1.69044093164324e-001	(-3.18948173052375e-002dB,-2.36450279787910e-006°)
1.69433780044731e-001	(-3.18948173052375e-002dB,-2.36995353976407e-006°)
1.69824365246172e-001	(-3.18948173052375e-002dB,-2.37541684690676e-006°)
1.70215850839493e-001	(-3.18948173052375e-002dB,-2.38089274827316e-006°)
1.70608238900310e-001	(-3.18948173052375e-002dB,-2.38638127289588e-006°)
1.71001531509027e-001	(-3.18948173052375e-002dB,-2.39188244987453e-006°)
1.71395730750840e-001	(-3.18948173052375e-002dB,-2.39739630837587e-006°)
1.71790838715757e-001	(-3.18948173052395e-002dB,-2.40292287763373e-006°)
1.72186857498599e-001	(-3.18948173052395e-002dB,-2.40846218694953e-006°)
1.72583789199018e-001	(-3.18948173052395e-002dB,-2.41401426569203e-006°)
1.72981635921508e-001	(-3.18948173052395e-002dB,-2.41957914329791e-006°)
1.73380399775412e-001	(-3.18948173052395e-002dB,-2.42515684927153e-006°)
1.73780082874935e-001	(-3.18948173052395e-002dB,-2.43074741318532e-006°)
1.74180687339159e-001	(-3.18948173052395e-002dB,-2.43635086467997e-006°)
1.74582215292048e-001	(-3.18948173052414e-002dB,-2.44196723346435e-006°)
1.74984668862463e-001	(-3.18948173052414e-002dB,-2.44759654931594e-006°)
1.75388050184174e-001	(-3.18948173052414e-002dB,-2.45323884208074e-006°)
1.75792361395867e-001	(-3.18948173052414e-002dB,-2.45889414167370e-006°)
1.76197604641161e-001	(-3.18948173052404e-002dB,-2.46456247807861e-006°)
1.76603782068614e-001	(-3.18948173052404e-002dB,-2.47024388134842e-006°)
1.77010895831740e-001	(-3.18948173052404e-002dB,-2.47593838160542e-006°)
1.77418948089014e-001	(-3.18948173052404e-002dB,-2.48164600904121e-006°)
1.77827941003890e-001	(-3.18948173052443e-002dB,-2.48736679391712e-006°)
1.78237876744807e-001	(-3.18948173052443e-002dB,-2.49310076656419e-006°)
1.78648757485203e-001	(-3.18948173052443e-002dB,-2.49884795738331e-006°)
1.79060585403527e-001	(-3.18948173052404e-002dB,-2.50460839684553e-006°)
1.79473362683250e-001	(-3.18948173052404e-002dB,-2.51038211549219e-006°)
1.79887091512876e-001	(-3.18948173052404e-002dB,-2.51616914393491e-006°)
1.80301774085954e-001	(-3.18948173052404e-002dB,-2.52196951285593e-006°)
1.80717412601090e-001	(-3.18948173052404e-002dB,-2.52778325300826e-006°)
1.81134009261958e-001	(-3.18948173052424e-002dB,-2.53361039521577e-006°)
1.81551566277311e-001	(-3.18948173052443e-002dB,-2.53945097037339e-006°)
1.81970085860996e-001	(-3.18948173052443e-002dB,-2.54530500944725e-006°)
1.82389570231961e-001	(-3.18948173052443e-002dB,-2.55117254347490e-006°)
1.82810021614272e-001	(-3.18948173052424e-002dB,-2.55705360356542e-006°)
1.83231442237119e-001	(-3.18948173052443e-002dB,-2.56294822089958e-006°)
1.83653834334832e-001	(-3.18948173052424e-002dB,-2.56885642673010e-006°)
1.84077200146893e-001	(-3.18948173052424e-002dB,-2.57477825238164e-006°)
1.84501541917945e-001	(-3.18948173052443e-002dB,-2.58071372925118e-006°)
1.84926861897805e-001	(-3.18948173052443e-002dB,-2.58666288880799e-006°)
1.85353162341479e-001	(-3.18948173052443e-002dB,-2.59262576259394e-006°)
1.85780445509167e-001	(-3.18948173052443e-002dB,-2.59860238222366e-006°)
1.86208713666284e-001	(-3.18948173052443e-002dB,-2.60459277938447e-006°)
1.86637969083464e-001	(-3.18948173052453e-002dB,-2.61059698583692e-006°)
1.87068214036577e-001	(-3.18948173052433e-002dB,-2.61661503341473e-006°)
1.87499450806739e-001	(-3.18948173052453e-002dB,-2.62264695402498e-006°)
1.87931681680324e-001	(-3.18948173052433e-002dB,-2.62869277964828e-006°)
1.88364908948977e-001	(-3.18948173052414e-002dB,-2.63475254233902e-006°)
1.88799134909627e-001	(-3.18948173052414e-002dB,-2.64082627422547e-006°)
1.89234361864495e-001	(-3.18948173052433e-002dB,-2.64691400750992e-006°)
1.89670592121112e-001	(-3.18948173052433e-002dB,-2.65301577446895e-006°)
1.90107827992327e-001	(-3.18948173052433e-002dB,-2.65913160745355e-006°)
1.90546071796322e-001	(-3.18948173052433e-002dB,-2.66526153888922e-006°)
1.90985325856621e-001	(-3.18948173052433e-002dB,-2.67140560127618e-006°)
1.91425592502106e-001	(-3.18948173052433e-002dB,-2.67756382718978e-006°)
1.91866874067026e-001	(-3.18948173052433e-002dB,-2.68373624928022e-006°)
1.92309172891013e-001	(-3.18948173052433e-002dB,-2.68992290027308e-006°)
1.92752491319091e-001	(-3.18948173052433e-002dB,-2.69612381296942e-006°)
1.93196831701689e-001	(-3.18948173052433e-002dB,-2.70233902024577e-006°)
1.93642196394658e-001	(-3.18948173052472e-002dB,-2.70856855505465e-006°)
1.94088587759275e-001	(-3.18948173052472e-002dB,-2.71481245042436e-006°)
1.94536008162263e-001	(-3.18948173052472e-002dB,-2.72107073945946e-006°)
1.94984459975802e-001	(-3.18948173052472e-002dB,-2.72734345534071e-006°)
1.95433945577536e-001	(-3.18948173052472e-002dB,-2.73363063132549e-006°)
1.95884467350596e-001	(-3.18948173052472e-002dB,-2.73993230074775e-006°)
1.96336027683602e-001	(-3.18948173052462e-002dB,-2.74624849701823e-006°)
1.96788628970681e-001	(-3.18948173052482e-002dB,-2.75257925362496e-006°)
1.97242273611482e-001	(-3.18948173052443e-002dB,-2.75892460413287e-006°)
1.97696964011183e-001	(-3.18948173052443e-002dB,-2.76528458218437e-006°)
1.98152702580507e-001	(-3.18948173052462e-002dB,-2.77165922149947e-006°)
1.98609491735734e-001	(-3.18948173052462e-002dB,-2.77804855587581e-006°)
1.99067333898716e-001	(-3.18948173052462e-002dB,-2.78445261918905e-006°)
1.99526231496885e-001	(-3.18948173052462e-002dB,-2.79087144539293e-006°)
1.99986186963271e-001	(-3.18948173052462e-002dB,-2.79730506851936e-006°)
2.00447202736513e-001	(-3.18948173052462e-002dB,-2.80375352267883e-006°)
2.00909281260870e-001	(-3.18948173052462e-002dB,-2.81021684206037e-006°)
2.01372424986236e-001	(-3.18948173052462e-002dB,-2.81669506093181e-006°)
2.01836636368153e-001	(-3.18948173052482e-002dB,-2.82318821364009e-006°)
2.02301917867824e-001	(-3.18948173052482e-002dB,-2.82969633461128e-006°)
2.02768271952125e-001	(-3.18948173052482e-002dB,-2.83621945835072e-006°)
2.03235701093619e-001	(-3.18948173052482e-002dB,-2.84275761944337e-006°)
2.03704207770569e-001	(-3.18948173052482e-002dB,-2.84931085255398e-006°)
2.04173794466950e-001	(-3.18948173052482e-002dB,-2.85587919242700e-006°)
2.04644463672464e-001	(-3.18948173052482e-002dB,-2.86246267388731e-006°)
2.05116217882553e-001	(-3.18948173052482e-002dB,-2.86906133183971e-006°)
2.05589059598411e-001	(-3.18948173052511e-002dB,-2.87567520126972e-006°)
2.06062991326997e-001	(-3.18948173052472e-002dB,-2.88230431724333e-006°)
2.06538015581050e-001	(-3.18948173052491e-002dB,-2.88894871490755e-006°)
2.07014134879101e-001	(-3.18948173052491e-002dB,-2.89560842949024e-006°)
2.07491351745488e-001	(-3.18948173052491e-002dB,-2.90228349630058e-006°)
2.07969668710366e-001	(-3.18948173052491e-002dB,-2.90897395072916e-006°)
2.08449088309725e-001	(-3.18948173052511e-002dB,-2.91567982824795e-006°)
2.08929613085400e-001	(-3.18948173052511e-002dB,-2.92240116441101e-006°)
2.09411245585086e-001	(-3.18948173052530e-002dB,-2.92913799485412e-006°)
2.09893988362349e-001	(-3.18948173052530e-002dB,-2.93589035529527e-006°)
2.10377843976644e-001	(-3.18948173052530e-002dB,-2.94265828153484e-006°)
2.10862814993325e-001	(-3.18948173052530e-002dB,-2.94944180945568e-006°)
2.11348903983661e-001	(-3.18948173052530e-002dB,-2.95624097502337e-006°)
2.11836113524847e-001	(-3.18948173052530e-002dB,-2.96305581428643e-006°)
2.12324446200018e-001	(-3.18948173052530e-002dB,-2.96988636337649e-006°)
2.12813904598267e-001	(-3.18948173052530e-002dB,-2.97673265850839e-006°)
2.13304491314654e-001	(-3.18948173052530e-002dB,-2.98359473598046e-006°)
2.13796208950219e-001	(-3.18948173052530e-002dB,-2.99047263217491e-006°)
2.14289060112002e-001	(-3.18948173052491e-002dB,-2.99736638355749e-006°)
2.14783047413050e-001	(-3.18948173052501e-002dB,-3.00427602667829e-006°)
2.15278173472433e-001	(-3.18948173052501e-002dB,-3.01120159817155e-006°)
2.15774440915263e-001	(-3.18948173052520e-002dB,-3.01814313475587e-006°)
2.16271852372698e-001	(-3.18948173052501e-002dB,-3.02510067323463e-006°)
2.16770410481966e-001	(-3.18948173052501e-002dB,-3.03207425049607e-006°)
2.17270117886371e-001	(-3.18948173052559e-002dB,-3.03906390351334e-006°)
2.17770977235312e-001	(-3.18948173052559e-002dB,-3.04606966934490e-006°)
2.18272991184296e-001	(-3.18948173052559e-002dB,-3.05309158513462e-006°)
2.18776162394951e-001	(-3.18948173052559e-002dB,-3.06012968811198e-006°)
2.19280493535041e-001	(-3.18948173052559e-002dB,-3.06718401559232e-006°)
2.19785987278478e-001	(-3.18948173052559e-002dB,-3.07425460497694e-006°)
2.20292646305342e-001	(-3.18948173052559e-002dB,-3.08134149375353e-006°)
2.20800473301886e-001	(-3.18948173052559e-002dB,-3.08844471949597e-006°)
2.21309470960560e-001	(-3.18948173052559e-002dB,-3.09556431986485e-006°)
2.21819641980018e-001	(-3.18948173052520e-002dB,-3.10270033260756e-006°)
2.22330989065136e-001	(-3.18948173052559e-002dB,-3.10985279555855e-006°)
2.22843514927026e-001	(-3.18948173052559e-002dB,-3.11702174663955e-006°)
