Freq.	V(Vout,N004)/-I(V3)-V(n004)/I(Rl)
1.20503594037179e-001	(-2.52716000149990e+001dB,5.61614348725559e-004°)
1.20781383510677e-001	(-2.52716000149976e+001dB,5.62909003507293e-004°)
1.21059813355048e-001	(-2.52716000149951e+001dB,5.64206642776462e-004°)
1.21338885046497e-001	(-2.52716000149937e+001dB,5.65507273413144e-004°)
1.21618600064636e-001	(-2.52716000149918e+001dB,5.66810902313068e-004°)
1.21898959892486e-001	(-2.52716000149898e+001dB,5.68117536387950e-004°)
1.22179966016487e-001	(-2.52716000149873e+001dB,5.69427182565427e-004°)
1.22461619926504e-001	(-2.52716000149853e+001dB,5.70739847789189e-004°)
1.22743923115840e-001	(-2.52716000149833e+001dB,5.72055539018796e-004°)
1.23026877081238e-001	(-2.52716000149819e+001dB,5.73374263229964e-004°)
1.23310483322890e-001	(-2.52716000149793e+001dB,5.74696027414332e-004°)
1.23594743344450e-001	(-2.52716000149773e+001dB,5.76020838579853e-004°)
1.23879658653036e-001	(-2.52716000149753e+001dB,5.77348703750530e-004°)
1.24165230759240e-001	(-2.52716000149732e+001dB,5.78679629966551e-004°)
1.24451461177138e-001	(-2.52716000149718e+001dB,5.80013624284395e-004°)
1.24738351424294e-001	(-2.52716000149697e+001dB,5.81350693776698e-004°)
1.25025903021771e-001	(-2.52716000149671e+001dB,5.82690845532490e-004°)
1.25314117494141e-001	(-2.52716000149661e+001dB,5.84034086657219e-004°)
1.25602996369487e-001	(-2.52716000149629e+001dB,5.85380424272415e-004°)
1.25892541179416e-001	(-2.52716000149608e+001dB,5.86729865516413e-004°)
1.26182753459066e-001	(-2.52716000149593e+001dB,5.88082417543785e-004°)
1.26473634747114e-001	(-2.52716000149572e+001dB,5.89438087525553e-004°)
1.26765186585784e-001	(-2.52716000149551e+001dB,5.90796882649378e-004°)
1.27057410520853e-001	(-2.52716000149529e+001dB,5.92158810119474e-004°)
1.27350308101665e-001	(-2.52716000149502e+001dB,5.93523877156595e-004°)
1.27643880881134e-001	(-2.52716000149486e+001dB,5.94892090998299e-004°)
1.27938130415752e-001	(-2.52716000149459e+001dB,5.96263458898570e-004°)
1.28233058265601e-001	(-2.52716000149437e+001dB,5.97637988128376e-004°)
1.28528665994361e-001	(-2.52716000149416e+001dB,5.99015685975300e-004°)
1.28824955169313e-001	(-2.52716000149399e+001dB,6.00396559743812e-004°)
1.29121927361353e-001	(-2.52716000149372e+001dB,6.01780616755047e-004°)
1.29419584144998e-001	(-2.52716000149344e+001dB,6.03167864347193e-004°)
1.29717927098395e-001	(-2.52716000149333e+001dB,6.04558309875413e-004°)
1.30016957803328e-001	(-2.52716000149305e+001dB,6.05951960711521e-004°)
1.30316677845229e-001	(-2.52716000149283e+001dB,6.07348824244617e-004°)
1.30617088813183e-001	(-2.52716000149254e+001dB,6.08748907880689e-004°)
1.30918192299940e-001	(-2.52716000149237e+001dB,6.10152219042951e-004°)
