Freq.	V(vout)/I(Ip)
2.22031980198019e+003	-4.25349112271259e-002,2.98977148290347e-001
2.23032079207920e+003	-4.29260971887671e-002,3.00349939812678e-001
2.24032178217821e+003	-4.33190023551609e-002,3.01723092918714e-001
2.25032277227722e+003	-4.37136260183301e-002,3.03096609161088e-001
2.26032376237623e+003	-4.41099674679343e-002,3.04470490088909e-001
2.27032475247524e+003	-4.45080259911066e-002,3.05844737248725e-001
2.28032574257425e+003	-4.49078008725995e-002,3.07219352183744e-001
2.29032673267326e+003	-4.53092913947817e-002,3.08594336433991e-001
2.30032772277227e+003	-4.57124968376697e-002,3.09969691536588e-001
2.31032871287128e+003	-4.61174164788304e-002,3.11345419025570e-001
2.32032970297029e+003	-4.65240495936718e-002,3.12721520431789e-001
2.33033069306930e+003	-4.69323954550580e-002,3.14097997283310e-001
2.34033168316831e+003	-4.73424533337975e-002,3.15474851104792e-001
2.35033267326732e+003	-4.77542224981705e-002,3.16852083418298e-001
2.36033366336633e+003	-4.81677022143874e-002,3.18229695742599e-001
2.37033465346534e+003	-4.85828917462880e-002,3.19607689593439e-001
2.38033564356435e+003	-4.89997903554779e-002,3.20986066483873e-001
2.39033663366336e+003	-4.94183973014311e-002,3.22364827923564e-001
2.40033762376237e+003	-4.98387118413623e-002,3.23743975419474e-001
2.41033861386138e+003	-5.02607332301799e-002,3.25123510475696e-001
2.42033960396039e+003	-5.06844607208443e-002,3.26503434592952e-001
2.43034059405940e+003	-5.11098935640016e-002,3.27883749269400e-001
2.44034158415841e+003	-5.15370310081688e-002,3.29264456000049e-001
2.45034257425742e+003	-5.19658722997228e-002,3.30645556277204e-001
2.46034356435643e+003	-5.23964166830025e-002,3.32027051589848e-001
2.47034455445544e+003	-5.28286634000717e-002,3.33408943424620e-001
2.48034554455445e+003	-5.32626116910598e-002,3.34791233264733e-001
2.49034653465346e+003	-5.36982607939491e-002,3.36173922590754e-001
2.50034752475247e+003	-5.41356099446560e-002,3.37557012880243e-001
2.51034851485148e+003	-5.45746583770012e-002,3.38940505608181e-001
2.52034950495049e+003	-5.50154053228452e-002,3.40324402246220e-001
2.53035049504950e+003	-5.54578500119856e-002,3.41708704263345e-001
2.54035148514851e+003	-5.59019916720947e-002,3.43093413125917e-001
2.55035247524752e+003	-5.63478295290007e-002,3.44478530297078e-001
2.56035346534653e+003	-5.67953628063942e-002,3.45864057237253e-001
2.57035445544554e+003	-5.72445907260537e-002,3.47249995404201e-001
2.58035544554455e+003	-5.76955125078110e-002,3.48636346252566e-001
2.59035643564356e+003	-5.81481273694229e-002,3.50023111234326e-001
2.60035742574257e+003	-5.86024345267669e-002,3.51410291798591e-001
2.61035841584158e+003	-5.90584331937182e-002,3.52797889391898e-001
2.62035940594059e+003	-5.95161225823720e-002,3.54185905457429e-001
2.63036039603960e+003	-5.99755019026192e-002,3.55574341436222e-001
2.64036138613861e+003	-6.04365703626932e-002,3.56963198765991e-001
2.65036237623762e+003	-6.08993271688834e-002,3.58352478881881e-001
2.66036336633663e+003	-6.13637715253681e-002,3.59742183216468e-001
2.67036435643564e+003	-6.18299026348091e-002,3.61132313198957e-001
2.68036534653465e+003	-6.22977196976150e-002,3.62522870256477e-001
2.69036633663366e+003	-6.27672219124980e-002,3.63913855812982e-001
2.70036732673267e+003	-6.32384084763784e-002,3.65305271289718e-001
2.71036831683168e+003	-6.37112785842536e-002,3.66697118105191e-001
2.72036930693069e+003	-6.41858314292899e-002,3.68089397675113e-001
2.73037029702970e+003	-6.46620662028143e-002,3.69482111412592e-001
2.74037128712871e+003	-6.51399820942842e-002,3.70875260727952e-001
2.75037227722772e+003	-6.56195782914489e-002,3.72268847028720e-001
2.76037326732673e+003	-6.61008539801300e-002,3.73662871719696e-001
2.77037425742574e+003	-6.65838083444686e-002,3.75057336203018e-001
2.78037524752475e+003	-6.70684405668221e-002,3.76452241877899e-001
2.79037623762376e+003	-6.75547498276671e-002,3.77847590141057e-001
2.80037722772277e+003	-6.80427353057350e-002,3.79243382386464e-001
2.81037821782178e+003	-6.85323961780468e-002,3.80639620005312e-001
2.82037920792079e+003	-6.90237316198881e-002,3.82036304386064e-001
2.83038019801980e+003	-6.95167408045838e-002,3.83433436914702e-001
2.84038118811880e+003	-7.00114229040386e-002,3.84831018974116e-001
2.85038217821781e+003	-7.05077770881920e-002,3.86229051944865e-001
2.86038316831682e+003	-7.10058025253691e-002,3.87627537204553e-001
2.87038415841583e+003	-7.15054983820990e-002,3.89026476128346e-001
2.88038514851484e+003	-7.20068638233501e-002,3.90425870088407e-001
2.89038613861385e+003	-7.25098980121254e-002,3.91825720454667e-001
2.90038712871286e+003	-7.30146001100440e-002,3.93226028593805e-001
2.91038811881187e+003	-7.35209692768211e-002,3.94626795870298e-001
2.92038910891088e+003	-7.40290046705508e-002,3.96028023645776e-001
2.93039009900989e+003	-7.45387054476996e-002,3.97429713279161e-001
2.94039108910890e+003	-7.50500707630696e-002,3.98831866126674e-001
2.95039207920791e+003	-7.55630997696499e-002,4.00234483542180e-001
2.96039306930692e+003	-7.60777916191354e-002,4.01637566876227e-001
2.97039405940593e+003	-7.65941454610458e-002,4.03041117477607e-001
2.98039504950494e+003	-7.71121604437664e-002,4.04445136691681e-001
2.99039603960395e+003	-7.76318357138708e-002,4.05849625861394e-001
3.00039702970296e+003	-7.81531704162302e-002,4.07254586327169e-001
3.01039801980197e+003	-7.86761636941644e-002,4.08660019426788e-001
3.02039900990098e+003	-7.92008146894024e-002,4.10065926495056e-001
3.03039999999999e+003	-7.97271225421167e-002,4.11472308864526e-001
3.04040099009900e+003	-8.02550863907497e-002,4.12879167864903e-001
3.05040198019801e+003	-8.07847053722841e-002,4.14286504823306e-001
3.06040297029702e+003	-8.13159786220322e-002,4.15694321064259e-001
3.07040396039603e+003	-8.18489052738956e-002,4.17102617909407e-001
3.08040495049504e+003	-8.23834844599730e-002,4.18511396678026e-001
3.09040594059405e+003	-8.29197153110442e-002,4.19920658686580e-001
3.10040693069306e+003	-8.34575969561396e-002,4.21330405249055e-001
3.11040792079207e+003	-8.39971285227267e-002,4.22740637676964e-001
3.12040891089108e+003	-8.45383091370643e-002,4.24151357278538e-001
3.13040990099009e+003	-8.50811379236031e-002,4.25562565359886e-001
3.14041089108910e+003	-8.56256140051543e-002,4.26974263224619e-001
3.15041188118811e+003	-8.61717365033445e-002,4.28386452173340e-001
3.16041287128712e+003	-8.67195045380191e-002,4.29799133504169e-001
3.17041386138613e+003	-8.72689172276434e-002,4.31212308512759e-001
3.18041485148514e+003	-8.78199736891955e-002,4.32625978491759e-001
3.19041584158415e+003	-8.83726730380834e-002,4.34040144731651e-001
3.20041683168316e+003	-8.89270143884181e-002,4.35454808519797e-001
3.21041782178217e+003	-8.94829968524000e-002,4.36869971141684e-001
3.22041881188118e+003	-9.00406195413455e-002,4.38285633879245e-001
3.23041980198019e+003	-9.05998815645921e-002,4.39701798012612e-001
3.24042079207920e+003	-9.11607820304161e-002,4.41118464818676e-001
3.25042178217821e+003	-9.17233200453890e-002,4.42535635572155e-001
3.26042277227722e+003	-9.22874947147211e-002,4.43953311544864e-001
3.27042376237623e+003	-9.28533051421474e-002,4.45371494006204e-001
3.28042475247524e+003	-9.34207504300085e-002,4.46790184222917e-001
3.29042574257425e+003	-9.39898296792785e-002,4.48209383459000e-001
3.30042673267326e+003	-9.45605419894551e-002,4.49629092975874e-001
3.31042772277227e+003	-9.51328864584282e-002,4.51049314032736e-001
3.32042871287128e+003	-9.57068621831472e-002,4.52470047885341e-001
3.33042970297029e+003	-9.62824682587567e-002,4.53891295787598e-001
3.34043069306930e+003	-9.68597037791240e-002,4.55313058990640e-001
3.35043168316831e+003	-9.74385678367643e-002,4.56735338742722e-001
3.36043267326732e+003	-9.80190595229473e-002,4.58158136289525e-001
3.37043366336633e+003	-9.86011779272756e-002,4.59581452874454e-001
3.38043465346534e+003	-9.91849221381389e-002,4.61005289738116e-001
3.39043564356435e+003	-9.97702912425477e-002,4.62429648118536e-001
3.40043663366336e+003	-1.00357284326340e-001,4.63854529250736e-001
3.41043762376237e+003	-1.00945900473663e-001,4.65279934367953e-001
3.42043861386138e+003	-1.01536138767660e-001,4.66705864699954e-001
3.43043960396039e+003	-1.02127998290010e-001,4.68132321474311e-001
3.44044059405940e+003	-1.02721478120867e-001,4.69559305916279e-001
3.45044158415841e+003	-1.03316577339526e-001,4.70986819247728e-001
3.46044257425742e+003	-1.03913295023418e-001,4.72414862688879e-001
3.47044356435643e+003	-1.04511630249201e-001,4.73843437456389e-001
3.48044455445544e+003	-1.05111582091870e-001,4.75272544765057e-001
3.49044554455445e+003	-1.05713149625179e-001,4.76702185826662e-001
3.50044653465346e+003	-1.06316331921711e-001,4.78132361850709e-001
3.51044752475247e+003	-1.06921128052749e-001,4.79563074043597e-001
3.52044851485148e+003	-1.07527537088336e-001,4.80994323609362e-001
3.53044950495049e+003	-1.08135558097022e-001,4.82426111749912e-001
3.54045049504950e+003	-1.08745190146335e-001,4.83858439663819e-001
3.55045148514851e+003	-1.09356432302585e-001,4.85291308547262e-001
3.56045247524752e+003	-1.09969283630612e-001,4.86724719594063e-001
3.57045346534653e+003	-1.10583743194191e-001,4.88158673995191e-001
3.58045445544554e+003	-1.11199810055931e-001,4.89593172938954e-001
3.59045544554455e+003	-1.11817483276856e-001,4.91028217611529e-001
3.60045643564355e+003	-1.12436761917227e-001,4.92463809195805e-001
3.61045742574256e+003	-1.13057645035781e-001,4.93899948872674e-001
3.62045841584157e+003	-1.13680131690177e-001,4.95336637819939e-001
3.63045940594058e+003	-1.14304220936930e-001,4.96773877213065e-001
3.64046039603959e+003	-1.14929911831157e-001,4.98211668224933e-001
3.65046138613860e+003	-1.15557203426895e-001,4.99650012025762e-001
3.66046237623761e+003	-1.16186094777261e-001,5.01088909782952e-001
3.67046336633662e+003	-1.16816584933776e-001,5.02528362661662e-001
3.68046435643563e+003	-1.17448672946978e-001,5.03968371824228e-001
3.69046534653464e+003	-1.18082357866520e-001,5.05408938430136e-001
3.70046633663365e+003	-1.18717638740313e-001,5.06850063636998e-001
3.71046732673266e+003	-1.19354514615659e-001,5.08291748599161e-001
3.72046831683167e+003	-1.19992984538437e-001,5.09733994468507e-001
3.73046930693068e+003	-1.20633047553542e-001,5.11176802394529e-001
3.74047029702969e+003	-1.21274702704652e-001,5.12620173523727e-001
3.75047128712870e+003	-1.21917949034451e-001,5.14064109000330e-001
3.76047227722771e+003	-1.22562785584271e-001,5.15508609966041e-001
3.77047326732672e+003	-1.23209211394635e-001,5.16953677559463e-001
3.78047425742573e+003	-1.23857225504692e-001,5.18399312917064e-001
3.79047524752474e+003	-1.24506826952865e-001,5.19845517172365e-001
3.80047623762375e+003	-1.25158014776139e-001,5.21292291456678e-001
3.81047722772276e+003	-1.25810788010507e-001,5.22739636898236e-001
3.82047821782177e+003	-1.26465145691056e-001,5.24187554623087e-001
3.83047920792078e+003	-1.27121086851638e-001,5.25636045754377e-001
3.84048019801979e+003	-1.27778610525138e-001,5.27085111412829e-001
3.85048118811880e+003	-1.28437715743331e-001,5.28534752716427e-001
3.86048217821781e+003	-1.29098401537231e-001,5.29984970780305e-001
3.87048316831682e+003	-1.29760666936116e-001,5.31435766718135e-001
3.88048415841583e+003	-1.30424510969171e-001,5.32887141639071e-001
3.89048514851484e+003	-1.31089932663887e-001,5.34339096651263e-001
3.90048613861385e+003	-1.31756931046820e-001,5.35791632859754e-001
3.91048712871286e+003	-1.32425505143944e-001,5.37244751366709e-001
3.92048811881187e+003	-1.33095653979736e-001,5.38698453271895e-001
3.93048910891088e+003	-1.33767376577897e-001,5.40152739672718e-001
3.94049009900989e+003	-1.34440671961307e-001,5.41607611663319e-001
3.95049108910890e+003	-1.35115539151412e-001,5.43063070336102e-001
3.96049207920791e+003	-1.35791977169337e-001,5.44519116779738e-001
3.97049306930692e+003	-1.36469985034436e-001,5.45975752081719e-001
3.98049405940593e+003	-1.37149561765924e-001,5.47432977325699e-001
3.99049504950494e+003	-1.37830706381548e-001,5.48890793593008e-001
4.00049603960395e+003	-1.38513417898257e-001,5.50349201962922e-001
4.01049702970296e+003	-1.39197695331988e-001,5.51808203511589e-001
4.02049801980197e+003	-1.39883537697919e-001,5.53267799312530e-001
4.03049900990098e+003	-1.40570944010211e-001,5.54727990437044e-001
4.04049999999999e+003	-1.41259913282188e-001,5.56188777953099e-001
4.05050099009900e+003	-1.41950444525908e-001,5.57650162927240e-001
4.06050198019801e+003	-1.42642536753241e-001,5.59112146421894e-001
4.07050297029702e+003	-1.43336188974276e-001,5.60574729498503e-001
4.08050396039603e+003	-1.44031400198992e-001,5.62037913214423e-001
4.09050495049504e+003	-1.44728169435947e-001,5.63501698625421e-001
