vi	-I(Rl)
3.919999999999960e+000	6.207679e-001
3.929999999999960e+000	6.223147e-001
3.939999999999960e+000	6.238627e-001
3.949999999999959e+000	6.254121e-001
3.959999999999959e+000	6.269620e-001
3.969999999999959e+000	6.285138e-001
3.979999999999959e+000	6.300676e-001
3.989999999999959e+000	6.316220e-001
3.999999999999958e+000	6.331768e-001
4.009999999999958e+000	6.347342e-001
4.019999999999958e+000	6.362921e-001
4.029999999999958e+000	6.378505e-001
4.039999999999957e+000	6.394114e-001
4.049999999999957e+000	6.409728e-001
4.059999999999957e+000	6.425353e-001
4.069999999999957e+000	6.440989e-001
4.079999999999957e+000	6.456639e-001
4.089999999999956e+000	6.472298e-001
4.099999999999956e+000	6.487968e-001
4.109999999999956e+000	6.503649e-001
4.119999999999956e+000	6.519341e-001
4.129999999999956e+000	6.535044e-001
4.139999999999955e+000	6.550757e-001
4.149999999999955e+000	6.566480e-001
4.159999999999955e+000	6.582215e-001
4.169999999999955e+000	6.597959e-001
4.179999999999954e+000	6.613703e-001
4.189999999999954e+000	6.629479e-001
4.199999999999954e+000	6.645254e-001
4.209999999999954e+000	6.661039e-001
4.219999999999954e+000	6.676823e-001
4.229999999999953e+000	6.692639e-001
4.239999999999953e+000	6.708453e-001
4.249999999999953e+000	6.724267e-001
4.259999999999953e+000	6.740101e-001
4.269999999999953e+000	6.755955e-001
4.279999999999952e+000	6.771807e-001
4.289999999999952e+000	6.787658e-001
4.299999999999952e+000	6.803538e-001
4.309999999999952e+000	6.819420e-001
4.319999999999951e+000	6.835310e-001
4.329999999999951e+000	6.851208e-001
4.339999999999951e+000	6.867115e-001
4.349999999999951e+000	6.883032e-001
4.359999999999951e+000	6.898957e-001
4.369999999999950e+000	6.914890e-001
4.379999999999950e+000	6.930833e-001
4.389999999999950e+000	6.946784e-001
4.399999999999950e+000	6.962743e-001
4.409999999999950e+000	6.978711e-001
4.419999999999949e+000	6.994687e-001
4.429999999999949e+000	7.010671e-001
4.439999999999949e+000	7.026659e-001
4.449999999999949e+000	7.042661e-001
4.459999999999949e+000	7.058675e-001
4.469999999999948e+000	7.074692e-001
4.479999999999948e+000	7.090717e-001
4.489999999999948e+000	7.106749e-001
4.499999999999948e+000	7.122769e-001
4.509999999999947e+000	7.138818e-001
4.519999999999947e+000	7.154874e-001
4.529999999999947e+000	7.170960e-001
4.539999999999947e+000	7.187032e-001
4.549999999999947e+000	7.203090e-001
4.559999999999946e+000	7.219197e-001
4.569999999999946e+000	7.235287e-001
4.579999999999946e+000	7.251393e-001
4.589999999999946e+000	7.267499e-001
4.599999999999946e+000	7.283618e-001
4.609999999999945e+000	7.299742e-001
4.619999999999945e+000	7.315872e-001
4.629999999999945e+000	7.332010e-001
4.639999999999945e+000	7.348135e-001
4.649999999999944e+000	7.364306e-001
4.659999999999944e+000	7.380466e-001
4.669999999999944e+000	7.396631e-001
4.679999999999944e+000	7.412804e-001
4.689999999999944e+000	7.428980e-001
4.699999999999943e+000	7.445166e-001
4.709999999999943e+000	7.461362e-001
4.719999999999943e+000	7.477562e-001
4.729999999999943e+000	7.493768e-001
4.739999999999943e+000	7.509981e-001
4.749999999999942e+000	7.526200e-001
4.759999999999942e+000	7.542425e-001
4.769999999999942e+000	7.558657e-001
4.779999999999942e+000	7.574896e-001
4.789999999999941e+000	7.591141e-001
4.799999999999941e+000	7.607392e-001
4.809999999999941e+000	7.623650e-001
4.819999999999941e+000	7.639914e-001
4.829999999999941e+000	7.656182e-001
4.839999999999940e+000	7.672459e-001
4.849999999999940e+000	7.688741e-001
4.859999999999940e+000	7.705029e-001
4.869999999999940e+000	7.721323e-001
4.879999999999940e+000	7.737623e-001
4.889999999999939e+000	7.753929e-001
4.899999999999939e+000	7.770230e-001
4.909999999999939e+000	7.786559e-001
4.919999999999939e+000	7.802882e-001
4.929999999999938e+000	7.819211e-001
4.939999999999938e+000	7.835547e-001
4.949999999999938e+000	7.851887e-001
4.959999999999938e+000	7.868234e-001
4.969999999999938e+000	7.884586e-001
4.979999999999937e+000	7.900939e-001
4.989999999999937e+000	7.917306e-001
4.999999999999937e+000	7.933664e-001
5.009999999999937e+000	7.950049e-001
5.019999999999937e+000	7.966428e-001
5.029999999999936e+000	7.982813e-001
5.039999999999936e+000	7.999200e-001
5.049999999999936e+000	8.015599e-001
5.059999999999936e+000	8.032000e-001
5.069999999999935e+000	8.048406e-001
5.079999999999935e+000	8.064817e-001
5.089999999999935e+000	8.081234e-001
5.099999999999935e+000	8.097655e-001
5.109999999999935e+000	8.114082e-001
5.119999999999934e+000	8.130514e-001
5.129999999999934e+000	8.146951e-001
5.139999999999934e+000	8.163393e-001
5.149999999999934e+000	8.179840e-001
5.159999999999934e+000	8.196293e-001
5.169999999999933e+000	8.212749e-001
5.179999999999933e+000	8.229211e-001
5.189999999999933e+000	8.245678e-001
5.199999999999933e+000	8.262150e-001
5.209999999999933e+000	8.278626e-001
5.219999999999932e+000	8.295101e-001
5.229999999999932e+000	8.311593e-001
5.239999999999932e+000	8.328084e-001
5.249999999999932e+000	8.344579e-001
5.259999999999931e+000	8.361079e-001
5.269999999999931e+000	8.377584e-001
5.279999999999931e+000	8.394094e-001
5.289999999999931e+000	8.410608e-001
5.299999999999931e+000	8.427126e-001
5.309999999999930e+000	8.443649e-001
5.319999999999930e+000	8.460177e-001
5.329999999999930e+000	8.476703e-001
5.339999999999930e+000	8.493245e-001
5.349999999999930e+000	8.509786e-001
5.359999999999929e+000	8.526331e-001
5.369999999999929e+000	8.542881e-001
5.379999999999929e+000	8.559435e-001
5.389999999999929e+000	8.575993e-001
5.399999999999928e+000	8.592556e-001
5.409999999999928e+000	8.609378e-001
5.419999999999928e+000	8.625695e-001
5.429999999999928e+000	8.642270e-001
5.439999999999928e+000	8.658848e-001
5.449999999999927e+000	8.675433e-001
5.459999999999927e+000	8.692021e-001
5.469999999999927e+000	8.708614e-001
5.479999999999927e+000	8.725210e-001
5.489999999999927e+000	8.741810e-001
5.499999999999926e+000	8.758410e-001
5.509999999999926e+000	8.775018e-001
5.519999999999926e+000	8.791636e-001
5.529999999999926e+000	8.808253e-001
5.539999999999925e+000	8.824873e-001
5.549999999999925e+000	8.841497e-001
5.559999999999925e+000	8.858126e-001
5.569999999999925e+000	8.874758e-001
5.579999999999925e+000	8.891394e-001
5.589999999999924e+000	8.908035e-001
5.599999999999924e+000	8.924679e-001
5.609999999999924e+000	8.941321e-001
5.619999999999924e+000	8.957978e-001
5.629999999999924e+000	8.974633e-001
5.639999999999923e+000	8.991292e-001
5.649999999999923e+000	9.007955e-001
5.659999999999923e+000	9.024621e-001
5.669999999999923e+000	9.041291e-001
5.679999999999922e+000	9.057966e-001
5.689999999999922e+000	9.074638e-001
5.699999999999922e+000	9.091325e-001
5.709999999999922e+000	9.108009e-001
5.719999999999922e+000	9.124684e-001
5.729999999999921e+000	9.141390e-001
5.739999999999921e+000	9.158086e-001
5.749999999999921e+000	9.174785e-001
5.759999999999921e+000	9.191487e-001
5.769999999999921e+000	9.208194e-001
5.779999999999920e+000	9.224904e-001
5.789999999999920e+000	9.241617e-001
5.799999999999920e+000	9.258333e-001
5.809999999999920e+000	9.275054e-001
5.819999999999920e+000	9.291777e-001
5.829999999999919e+000	9.308504e-001
5.839999999999919e+000	9.325234e-001
5.849999999999919e+000	9.341968e-001
5.859999999999919e+000	9.358705e-001
5.869999999999918e+000	9.375445e-001
5.879999999999918e+000	9.392176e-001
5.889999999999918e+000	9.408923e-001
5.899999999999918e+000	9.425685e-001
5.909999999999918e+000	9.442435e-001
5.919999999999917e+000	9.459197e-001
5.929999999999917e+000	9.475957e-001
5.939999999999917e+000	9.492720e-001
5.949999999999917e+000	9.509487e-001
5.959999999999917e+000	9.526256e-001
5.969999999999916e+000	9.543029e-001
5.979999999999916e+000	9.559805e-001
5.989999999999916e+000	9.576584e-001
5.999999999999916e+000	9.593365e-001
6.009999999999915e+000	9.610139e-001
6.019999999999915e+000	9.626940e-001
6.029999999999915e+000	9.643732e-001
6.039999999999915e+000	9.660527e-001
6.049999999999915e+000	9.677324e-001
6.059999999999914e+000	9.694125e-001
6.069999999999914e+000	9.710923e-001
6.079999999999914e+000	9.727722e-001
6.089999999999914e+000	9.744540e-001
6.099999999999914e+000	9.761358e-001
6.109999999999913e+000	9.778172e-001
6.119999999999913e+000	9.794992e-001
6.129999999999913e+000	9.811813e-001
6.139999999999913e+000	9.828625e-001
6.149999999999912e+000	9.845464e-001
6.159999999999912e+000	9.862283e-001
6.169999999999912e+000	9.879128e-001
6.179999999999912e+000	9.895964e-001
6.189999999999912e+000	9.912803e-001
6.199999999999911e+000	9.929645e-001
6.209999999999911e+000	9.946485e-001
6.219999999999911e+000	9.963332e-001
6.229999999999911e+000	9.980187e-001
6.239999999999911e+000	9.997040e-001
6.249999999999910e+000	1.001388e+000
6.259999999999910e+000	1.003075e+000
6.269999999999910e+000	1.004761e+000
6.279999999999910e+000	1.006448e+000
6.289999999999909e+000	1.008135e+000
6.299999999999909e+000	1.009822e+000
6.309999999999909e+000	1.011509e+000
6.319999999999909e+000	1.013196e+000
6.329999999999909e+000	1.014884e+000
6.339999999999908e+000	1.016572e+000
6.349999999999908e+000	1.018260e+000
6.359999999999908e+000	1.019948e+000
6.369999999999908e+000	1.021637e+000
6.379999999999908e+000	1.023327e+000
6.389999999999907e+000	1.025016e+000
6.399999999999907e+000	1.026705e+000
6.409999999999907e+000	1.028395e+000
6.419999999999907e+000	1.030085e+000
6.429999999999907e+000	1.031776e+000
6.439999999999906e+000	1.033466e+000
6.449999999999906e+000	1.035157e+000
6.459999999999906e+000	1.036848e+000
6.469999999999906e+000	1.038540e+000
6.479999999999905e+000	1.040231e+000
6.489999999999905e+000	1.041923e+000
6.499999999999905e+000	1.043615e+000
6.509999999999905e+000	1.045308e+000
6.519999999999905e+000	1.047000e+000
6.529999999999904e+000	1.048693e+000
6.539999999999904e+000	1.050386e+000
6.549999999999904e+000	1.052079e+000
6.559999999999904e+000	1.053773e+000
6.569999999999904e+000	1.055466e+000
6.579999999999903e+000	1.057160e+000
6.589999999999903e+000	1.058855e+000
6.599999999999903e+000	1.060549e+000
6.609999999999903e+000	1.062243e+000
6.619999999999902e+000	1.063939e+000
6.629999999999902e+000	1.065634e+000
6.639999999999902e+000	1.067330e+000
6.649999999999902e+000	1.069025e+000
6.659999999999902e+000	1.070721e+000
6.669999999999901e+000	1.072417e+000
6.679999999999901e+000	1.074114e+000
6.689999999999901e+000	1.075811e+000
6.699999999999901e+000	1.077507e+000
6.709999999999901e+000	1.079204e+000
6.719999999999900e+000	1.080902e+000
6.729999999999900e+000	1.082599e+000
6.739999999999900e+000	1.084297e+000
6.749999999999900e+000	1.085995e+000
6.759999999999899e+000	1.087693e+000
6.769999999999899e+000	1.089391e+000
6.779999999999899e+000	1.091090e+000
6.789999999999899e+000	1.092789e+000
6.799999999999899e+000	1.094488e+000
6.809999999999898e+000	1.096187e+000
6.819999999999898e+000	1.097887e+000
6.829999999999898e+000	1.099586e+000
6.839999999999898e+000	1.101286e+000
6.849999999999898e+000	1.102986e+000
6.859999999999897e+000	1.104686e+000
6.869999999999897e+000	1.106387e+000
6.879999999999897e+000	1.108088e+000
6.889999999999897e+000	1.109789e+000
6.899999999999896e+000	1.111490e+000
6.909999999999896e+000	1.113191e+000
6.919999999999896e+000	1.114893e+000
6.929999999999896e+000	1.116595e+000
6.939999999999896e+000	1.118297e+000
6.949999999999895e+000	1.119999e+000
6.959999999999895e+000	1.121701e+000
6.969999999999895e+000	1.123404e+000
6.979999999999895e+000	1.125107e+000
6.989999999999895e+000	1.126810e+000
6.999999999999894e+000	1.128513e+000
7.009999999999894e+000	1.130216e+000
7.019999999999894e+000	1.131920e+000
7.029999999999894e+000	1.133624e+000
7.039999999999894e+000	1.135328e+000
7.049999999999893e+000	1.137032e+000
7.059999999999893e+000	1.138736e+000
7.069999999999893e+000	1.140441e+000
7.079999999999893e+000	1.142146e+000
7.089999999999892e+000	1.143851e+000
7.099999999999892e+000	1.145556e+000
7.109999999999892e+000	1.147262e+000
7.119999999999892e+000	1.148967e+000
7.129999999999892e+000	1.150673e+000
7.139999999999891e+000	1.152379e+000
7.149999999999891e+000	1.154085e+000
7.159999999999891e+000	1.155791e+000
7.169999999999891e+000	1.157498e+000
7.179999999999891e+000	1.159204e+000
7.189999999999890e+000	1.160911e+000
7.199999999999890e+000	1.162618e+000
7.209999999999890e+000	1.164326e+000
7.219999999999890e+000	1.166033e+000
7.229999999999889e+000	1.167741e+000
7.239999999999889e+000	1.169448e+000
7.249999999999889e+000	1.171156e+000
7.259999999999889e+000	1.172865e+000
7.269999999999889e+000	1.174573e+000
7.279999999999888e+000	1.176281e+000
7.289999999999888e+000	1.177990e+000
7.299999999999888e+000	1.179699e+000
7.309999999999888e+000	1.181408e+000
7.319999999999888e+000	1.183116e+000
7.329999999999887e+000	1.184827e+000
7.339999999999887e+000	1.186536e+000
7.349999999999887e+000	1.188246e+000
7.359999999999887e+000	1.189956e+000
7.369999999999886e+000	1.191666e+000
7.379999999999886e+000	1.193376e+000
7.389999999999886e+000	1.195086e+000
7.399999999999886e+000	1.196797e+000
7.409999999999886e+000	1.198508e+000
7.419999999999885e+000	1.200219e+000
7.429999999999885e+000	1.201930e+000
7.439999999999885e+000	1.203642e+000
7.449999999999885e+000	1.205353e+000
7.459999999999885e+000	1.207065e+000
7.469999999999884e+000	1.208776e+000
7.479999999999884e+000	1.210489e+000
7.489999999999884e+000	1.212201e+000
7.499999999999884e+000	1.213912e+000
7.509999999999883e+000	1.215625e+000
7.519999999999883e+000	1.217338e+000
7.529999999999883e+000	1.219051e+000
7.539999999999883e+000	1.220764e+000
7.549999999999883e+000	1.222477e+000
7.559999999999882e+000	1.224189e+000
7.569999999999882e+000	1.225904e+000
7.579999999999882e+000	1.227617e+000
7.589999999999882e+000	1.229331e+000
7.599999999999882e+000	1.231045e+000
7.609999999999881e+000	1.232759e+000
7.619999999999881e+000	1.234473e+000
7.629999999999881e+000	1.236188e+000
7.639999999999881e+000	1.237902e+000
7.649999999999881e+000	1.239617e+000
7.659999999999880e+000	1.241332e+000
7.669999999999880e+000	1.243047e+000
7.679999999999880e+000	1.244762e+000
7.689999999999880e+000	1.246477e+000
7.699999999999879e+000	1.248193e+000
7.709999999999879e+000	1.249909e+000
7.719999999999879e+000	1.251624e+000
7.729999999999879e+000	1.253340e+000
7.739999999999879e+000	1.255057e+000
7.749999999999878e+000	1.256773e+000
7.759999999999878e+000	1.258489e+000
7.769999999999878e+000	1.260206e+000
7.779999999999878e+000	1.261922e+000
7.789999999999878e+000	1.263639e+000
7.799999999999877e+000	1.265356e+000
7.809999999999877e+000	1.267074e+000
7.819999999999877e+000	1.268791e+000
7.829999999999877e+000	1.270508e+000
7.839999999999876e+000	1.272226e+000
7.849999999999876e+000	1.273943e+000
7.859999999999876e+000	1.275661e+000
7.869999999999876e+000	1.277379e+000
7.879999999999876e+000	1.279098e+000
7.889999999999875e+000	1.280816e+000
7.899999999999875e+000	1.282534e+000
7.909999999999875e+000	1.284253e+000
7.919999999999875e+000	1.285972e+000
7.929999999999875e+000	1.287691e+000
7.939999999999874e+000	1.289410e+000
7.949999999999874e+000	1.291129e+000
7.959999999999874e+000	1.292848e+000
7.969999999999874e+000	1.294568e+000
7.979999999999873e+000	1.296288e+000
7.989999999999873e+000	1.298007e+000
7.999999999999873e+000	1.299727e+000
8.009999999999874e+000	1.301447e+000
8.019999999999874e+000	1.303167e+000
8.029999999999873e+000	1.304888e+000
8.039999999999873e+000	1.306608e+000
8.049999999999873e+000	1.308329e+000
8.059999999999873e+000	1.310049e+000
8.069999999999872e+000	1.311770e+000
8.079999999999872e+000	1.313491e+000
8.089999999999872e+000	1.315212e+000
8.099999999999872e+000	1.316934e+000
8.109999999999872e+000	1.318655e+000
8.119999999999871e+000	1.320376e+000
8.129999999999871e+000	1.322098e+000
8.139999999999871e+000	1.323820e+000
8.149999999999871e+000	1.325542e+000
8.159999999999871e+000	1.327264e+000
8.169999999999870e+000	1.328986e+000
8.179999999999870e+000	1.330708e+000
8.189999999999870e+000	1.332431e+000
8.199999999999870e+000	1.334153e+000
8.209999999999869e+000	1.335876e+000
8.219999999999869e+000	1.337599e+000
8.229999999999869e+000	1.339322e+000
8.239999999999869e+000	1.341045e+000
8.249999999999869e+000	1.342768e+000
8.259999999999868e+000	1.344491e+000
8.269999999999868e+000	1.346215e+000
8.279999999999868e+000	1.347939e+000
8.289999999999868e+000	1.349662e+000
8.299999999999868e+000	1.351385e+000
8.309999999999867e+000	1.353110e+000
