time	-I(Rl)	V(vout)
0.000000000000000e+00	1.009601e-09	9.996057e+00
2.000000000000000e-03	1.009601e-09	9.996057e+00
2.000000079872123e-03	2.300749e+01	4.245506e-02
2.000000080184124e-03	2.305060e+01	2.305060e-02
2.000001080184124e-03	1.553141e+01	1.553141e-02
2.000002080184124e-03	1.259571e+01	1.259571e-02
2.000003080184123e-03	1.210466e+01	1.210466e-02
2.000004080184124e-03	1.185402e+01	1.185402e-02
2.000005080184124e-03	1.172525e+01	1.172526e-02
2.000005185941932e-03	1.171645e+01	1.171645e-02
2.000005397457548e-03	1.170384e+01	1.170384e-02
2.000005820488780e-03	1.169481e+01	1.169481e-02
2.000006666551245e-03	1.171703e+01	1.171703e-02
2.000007528445029e-03	1.178022e+01	1.178022e-02
2.000008282445631e-03	1.186132e+01	1.186132e-02
2.000008851274255e-03	1.192623e+01	1.192623e-02
2.000009449164574e-03	1.198973e+01	1.198973e-02
2.000010235551080e-03	1.206603e+01	1.206603e-02
2.000010981730369e-03	1.212811e+01	1.212811e-02
2.000012104103430e-03	1.220092e+01	1.220092e-02
2.000013302365065e-03	1.225439e+01	1.225439e-02
2.000015045840630e-03	1.230088e+01	1.230088e-02
2.000017090205650e-03	1.233163e+01	1.233163e-02
2.000019006648057e-03	1.234488e+01	1.234488e-02
2.000020282645191e-03	1.234169e+01	1.234169e-02
2.000021471252277e-03	1.232920e+01	1.232920e-02
2.000022685900430e-03	1.231559e+01	1.231559e-02
2.000024107813575e-03	1.230392e+01	1.230392e-02
2.000025177774063e-03	1.229796e+01	1.229796e-02
2.000026372813002e-03	1.229426e+01	1.229426e-02
2.000027736329784e-03	1.229340e+01	1.229340e-02
2.000029390792887e-03	1.229598e+01	1.229598e-02
2.000031798987155e-03	1.230368e+01	1.230368e-02
2.000035715763388e-03	1.231978e+01	1.231979e-02
2.000039741752588e-03	1.233754e+01	1.233754e-02
2.000047371268605e-03	1.237211e+01	1.237212e-02
2.000053379216557e-03	1.240283e+01	1.240283e-02
2.000058685440304e-03	1.243890e+01	1.243891e-02
2.000064600354068e-03	1.249752e+01	1.249752e-02
2.000070559646427e-03	1.258705e+01	1.258705e-02
2.000078231494689e-03	1.275610e+01	1.275611e-02
2.000086162521682e-03	1.299103e+01	1.299103e-02
2.000091585226494e-03	1.319199e+01	1.319199e-02
2.000095768086734e-03	1.337633e+01	1.337633e-02
2.000099801383801e-03	1.358105e+01	1.358105e-02
2.000103500143362e-03	1.379753e+01	1.379753e-02
2.000108940702012e-03	1.416734e+01	1.416734e-02
2.000116651946279e-03	1.476065e+01	1.476065e-02
2.000121643566411e-03	1.517654e+01	1.517654e-02
2.000124221690353e-03	1.539265e+01	1.539265e-02
2.000125651403243e-03	1.550568e+01	1.550568e-02
2.000127045592924e-03	1.561171e+01	1.561171e-02
2.000128248169209e-03	1.570190e+01	1.570191e-02
2.000129379584561e-03	1.578290e+01	1.578290e-02
2.000131642415264e-03	1.592157e+01	1.592157e-02
2.000134495781981e-03	1.598327e+01	1.598328e-02
2.000136571659446e-03	1.583614e+01	1.583615e-02
2.000137921962361e-03	1.568508e+01	1.568508e-02
2.000138733481771e-03	1.569398e+01	1.569398e-02
2.000139076891551e-03	1.573909e+01	1.573909e-02
2.000139313421728e-03	1.577117e+01	1.577117e-02
2.000139489947603e-03	1.579353e+01	1.579354e-02
2.000139603811488e-03	1.580854e+01	1.580854e-02
2.000139713737402e-03	1.582250e+01	1.582251e-02
2.000139823619273e-03	1.583623e+01	1.583623e-02
2.000139947747593e-03	1.585175e+01	1.585175e-02
2.000140121702517e-03	1.587294e+01	1.587294e-02
2.000140384288958e-03	1.590428e+01	1.590428e-02
2.000140833917508e-03	1.595535e+01	1.595535e-02
2.000141518108850e-03	1.602911e+01	1.602911e-02
2.000142309274653e-03	1.611081e+01	1.611082e-02
2.000142863977406e-03	1.616580e+01	1.616580e-02
2.000143552127026e-03	1.623242e+01	1.623242e-02
2.000144248383378e-03	1.629966e+01	1.629966e-02
2.000145074554148e-03	1.638002e+01	1.638002e-02
2.000146671034754e-03	1.653847e+01	1.653847e-02
2.000149863995964e-03	1.686556e+01	1.686556e-02
2.000153880467371e-03	1.729559e+01	1.729559e-02
2.000158447539914e-03	1.781213e+01	1.781213e-02
2.000163775468184e-03	1.845806e+01	1.845806e-02
