time	-I(Rl)	V(vout)
2.000556586951806e-03	5.703077e+01	5.703077e-02
2.000565725570241e-03	5.692390e+01	5.692391e-02
2.000574925171458e-03	5.681083e+01	5.681083e-02
2.000584885327256e-03	5.668272e+01	5.668272e-02
2.000596911970875e-03	5.652080e+01	5.652080e-02
2.000609742592149e-03	5.633929e+01	5.633929e-02
2.000624497436412e-03	5.611929e+01	5.611929e-02
2.000638839628768e-03	5.589290e+01	5.589291e-02
2.000655523865799e-03	5.561251e+01	5.561252e-02
2.000671503958323e-03	5.532503e+01	5.532504e-02
2.000690049685655e-03	5.496580e+01	5.496581e-02
2.000708615087149e-03	5.457410e+01	5.457411e-02
2.000730693802884e-03	5.405714e+01	5.405715e-02
2.000756578726288e-03	5.334354e+01	5.334355e-02
2.000808348573098e-03	5.156178e+01	5.156179e-02
2.000867787862977e-03	4.896964e+01	4.896964e-02
2.000938484802252e-03	4.533093e+01	4.533093e-02
2.001002763493482e-03	4.186257e+01	4.186257e-02
2.001070276199548e-03	3.833319e+01	3.833320e-02
2.001137563734480e-03	3.501525e+01	3.501526e-02
2.001208988329064e-03	3.168053e+01	3.168053e-02
2.001285721684775e-03	2.827228e+01	2.827228e-02
2.001367467825037e-03	2.493755e+01	2.493755e-02
2.001446581888131e-03	2.226711e+01	2.226712e-02
2.001538425540648e-03	1.988430e+01	1.988431e-02
2.001589427071608e-03	1.886375e+01	1.886375e-02
2.001647614345351e-03	1.793103e+01	1.793103e-02
2.001710200908202e-03	1.707709e+01	1.707710e-02
2.001771710952543e-03	1.635633e+01	1.635633e-02
2.001823928867280e-03	1.582171e+01	1.582171e-02
2.001864659970160e-03	1.544581e+01	1.544581e-02
2.001906952712441e-03	1.508424e+01	1.508424e-02
2.001946804931489e-03	1.476962e+01	1.476962e-02
2.002008050224313e-03	1.433046e+01	1.433046e-02
2.002092386958381e-03	1.378692e+01	1.378692e-02
2.002178334489951e-03	1.330073e+01	1.330073e-02
2.002313415801351e-03	1.264347e+01	1.264348e-02
2.002477379529092e-03	1.194399e+01	1.194399e-02
2.002528980782440e-03	1.174630e+01	1.174630e-02
2.002557892094402e-03	1.164381e+01	1.164381e-02
2.002606973625608e-03	1.147654e+01	1.147655e-02
2.002644615118974e-03	1.135280e+01	1.135280e-02
2.002688941134131e-03	1.121338e+01	1.121338e-02
2.002763215439840e-03	1.099019e+01	1.099019e-02
2.002830222220860e-03	1.079941e+01	1.079941e-02
2.002923759286202e-03	1.054858e+01	1.054859e-02
2.003009378986583e-03	1.033347e+01	1.033347e-02
2.003132014633778e-03	1.004694e+01	1.004694e-02
2.003261887204196e-03	9.766593e+00	9.766594e-03
2.003446306931401e-03	9.405210e+00	9.405212e-03
2.003724097738655e-03	8.918236e+00	8.918237e-03
2.004062569983785e-03	8.397792e+00	8.397793e-03
2.004523373722149e-03	7.788400e+00	7.788401e-03
2.005148865568573e-03	7.086454e+00	7.086455e-03
2.005956423661870e-03	6.329119e+00	6.329119e-03
2.007002557332591e-03	5.524723e+00	5.524723e-03
2.008428731484669e-03	4.652353e+00	4.652353e-03
2.010472895193787e-03	3.691439e+00	3.691440e-03
2.012788715660077e-03	2.913723e+00	2.913724e-03
2.014024382501464e-03	2.841132e+00	2.841132e-03
2.015390441983322e-03	3.205974e+00	3.205974e-03
2.015928409623602e-03	3.400326e+00	3.400326e-03
2.016261124734901e-03	3.511798e+00	3.511798e-03
2.016489139188074e-03	3.592157e+00	3.592157e-03
2.016636503788754e-03	3.646287e+00	3.646287e-03
2.016761202948284e-03	3.691041e+00	3.691041e-03
2.016870521099144e-03	3.729916e+00	3.729916e-03
2.016983656299510e-03	3.770317e+00	3.770318e-03
2.017102143900045e-03	3.813017e+00	3.813018e-03
2.017269620189882e-03	3.873905e+00	3.873905e-03
2.017495578269349e-03	3.956626e+00	3.956626e-03
2.017730369370657e-03	4.043090e+00	4.043090e-03
2.018100669892190e-03	4.177587e+00	4.177587e-03
2.018673514316301e-03	4.351943e+00	4.351943e-03
2.019420901609951e-03	4.476689e+00	4.476689e-03
2.019986012151266e-03	4.478739e+00	4.478740e-03
2.020508583352677e-03	4.429379e+00	4.429379e-03
2.021041063406457e-03	4.367332e+00	4.367332e-03
2.021539228010631e-03	4.309454e+00	4.309455e-03
2.022398308223252e-03	4.215550e+00	4.215551e-03
2.023404310457062e-03	4.114556e+00	4.114557e-03
2.024599957345741e-03	4.006995e+00	4.006995e-03
2.026012185244945e-03	3.895378e+00	3.895379e-03
2.027645772491402e-03	3.784452e+00	3.784452e-03
2.029595932009988e-03	3.673820e+00	3.673821e-03
2.031937216889977e-03	3.566507e+00	3.566507e-03
2.034784516860183e-03	3.465603e+00	3.465603e-03
2.038277627134476e-03	3.375267e+00	3.375267e-03
2.042790032882439e-03	3.295809e+00	3.295809e-03
2.048053370845078e-03	3.233814e+00	3.233815e-03
2.050449868550604e-03	3.214470e+00	3.214470e-03
2.051048992976986e-03	3.210606e+00	3.210606e-03
2.052247241829749e-03	3.203424e+00	3.203424e-03
2.052431478042491e-03	3.202416e+00	3.202416e-03
2.052799950467973e-03	3.200471e+00	3.200471e-03
2.053362837563252e-03	3.197568e+00	3.197569e-03
2.053868134867032e-03	3.195006e+00	3.195006e-03
2.053881148321499e-03	3.194940e+00	3.194940e-03
2.053907175230434e-03	3.194806e+00	3.194807e-03
2.053959229048302e-03	3.194536e+00	3.194536e-03
2.054063336684039e-03	3.193933e+00	3.193934e-03
2.054146773519529e-03	3.193300e+00	3.193301e-03
2.054211423402534e-03	3.192636e+00	3.192636e-03
2.054283061398387e-03	3.191776e+00	3.191777e-03
2.054368010489322e-03	3.190787e+00	3.190788e-03
2.054458318495692e-03	3.189904e+00	3.189905e-03
2.054627229633478e-03	3.188471e+00	3.188471e-03
2.054875304166937e-03	3.186186e+00	3.186186e-03
2.055348182213750e-03	3.180846e+00	3.180847e-03
2.055987096224471e-03	3.170167e+00	3.170168e-03
2.057246983618690e-03	3.134520e+00	3.134520e-03
2.058569521698989e-03	3.071742e+00	3.071742e-03
2.059729841796142e-03	2.984306e+00	2.984307e-03
2.061298108808865e-03	2.822519e+00	2.822519e-03
2.062837511496492e-03	2.640561e+00	2.640562e-03
2.064706703434030e-03	2.433686e+00	2.433686e-03
2.066893614819905e-03	2.254336e+00	2.254336e-03
2.069191013489946e-03	2.147513e+00	2.147513e-03
2.072484387587956e-03	2.085324e+00	2.085324e-03
2.077326257691082e-03	2.059674e+00	2.059674e-03
2.082483626262634e-03	2.055132e+00	2.055132e-03
2.088438115714417e-03	2.054303e+00	2.054303e-03
2.094024069010497e-03	2.053695e+00	2.053695e-03
2.100607773373897e-03	2.053344e+00	2.053344e-03
2.106708410746817e-03	2.053208e+00	2.053208e-03
2.113476287617529e-03	2.053161e+00	2.053162e-03
2.120312225117529e-03	2.053172e+00	2.053173e-03
2.127148162617529e-03	2.053212e+00	2.053213e-03
2.133984100117529e-03	2.053263e+00	2.053263e-03
2.140820037617529e-03	2.053314e+00	2.053314e-03
2.147655975117529e-03	2.053365e+00	2.053366e-03
2.154491912617529e-03	2.053417e+00	2.053417e-03
2.161327850117529e-03	2.053466e+00	2.053467e-03
2.168163787617529e-03	2.053511e+00	2.053511e-03
2.174999725117529e-03	2.053552e+00	2.053553e-03
2.181835662617529e-03	2.053592e+00	2.053593e-03
2.188671600117529e-03	2.053631e+00	2.053631e-03
2.195507537617529e-03	2.053665e+00	2.053666e-03
2.202343475117529e-03	2.053697e+00	2.053697e-03
2.209179412617529e-03	2.053727e+00	2.053727e-03
2.216015350117529e-03	2.053756e+00	2.053756e-03
2.222851287617529e-03	2.053783e+00	2.053783e-03
2.229687225117529e-03	2.053807e+00	2.053807e-03
2.236523162617529e-03	2.053829e+00	2.053830e-03
2.243359100117529e-03	2.053851e+00	2.053851e-03
2.250195037617529e-03	2.053872e+00	2.053872e-03
2.257030975117529e-03	2.053890e+00	2.053891e-03
2.263866912617529e-03	2.053907e+00	2.053908e-03
2.270702850117529e-03	2.053924e+00	2.053924e-03
2.277538787617529e-03	2.053940e+00	2.053940e-03
2.284374725117529e-03	2.053954e+00	2.053954e-03
2.291210662617529e-03	2.053967e+00	2.053967e-03
2.298046600117529e-03	2.053979e+00	2.053979e-03
2.304882537617529e-03	2.053991e+00	2.053991e-03
2.311718475117529e-03	2.054002e+00	2.054002e-03
2.318554412617529e-03	2.054012e+00	2.054012e-03
2.325390350117529e-03	2.054021e+00	2.054021e-03
2.332226287617529e-03	2.054030e+00	2.054030e-03
2.339062225117529e-03	2.054039e+00	2.054039e-03
2.345898162617529e-03	2.054046e+00	2.054046e-03
2.352734100117529e-03	2.054053e+00	2.054053e-03
2.359570037617529e-03	2.054060e+00	2.054060e-03
2.366405975117529e-03	2.054066e+00	2.054066e-03
2.373241912617529e-03	2.054072e+00	2.054072e-03
2.380077850117529e-03	2.054077e+00	2.054078e-03
2.386913787617529e-03	2.054082e+00	2.054083e-03
2.393749725117529e-03	2.054087e+00	2.054088e-03
2.400585662617529e-03	2.054092e+00	2.054092e-03
2.407421600117529e-03	2.054096e+00	2.054096e-03
2.414257537617529e-03	2.054100e+00	2.054100e-03
2.421093475117529e-03	2.054103e+00	2.054104e-03
2.427929412617529e-03	2.054107e+00	2.054107e-03
2.434765350117529e-03	2.054110e+00	2.054110e-03
2.441601287617529e-03	2.054113e+00	2.054113e-03
2.448437225117529e-03	2.054116e+00	2.054116e-03
2.455273162617529e-03	2.054118e+00	2.054118e-03
2.462109100117529e-03	2.054121e+00	2.054121e-03
2.468945037617529e-03	2.054123e+00	2.054123e-03
2.475780975117529e-03	2.054125e+00	2.054125e-03
2.482616912617529e-03	2.054127e+00	2.054127e-03
2.489452850117529e-03	2.054129e+00	2.054129e-03
2.496288787617529e-03	2.054130e+00	2.054130e-03
2.503124725117529e-03	2.054132e+00	2.054132e-03
2.509960662617529e-03	2.054133e+00	2.054133e-03
2.516796600117529e-03	2.054135e+00	2.054135e-03
2.523632537617529e-03	2.054136e+00	2.054136e-03
2.530468475117529e-03	2.054137e+00	2.054137e-03
2.537304412617529e-03	2.054138e+00	2.054139e-03
2.544140350117529e-03	2.054139e+00	2.054140e-03
2.550976287617529e-03	2.054140e+00	2.054140e-03
2.557812225117529e-03	2.054141e+00	2.054141e-03
2.564648162617529e-03	2.054142e+00	2.054142e-03
2.571484100117529e-03	2.054143e+00	2.054143e-03
2.578320037617529e-03	2.054144e+00	2.054144e-03
2.585155975117529e-03	2.054144e+00	2.054145e-03
2.591991912617529e-03	2.054145e+00	2.054145e-03
2.598827850117529e-03	2.054146e+00	2.054146e-03
2.605663787617529e-03	2.054146e+00	2.054146e-03
2.612499725117529e-03	2.054147e+00	2.054147e-03
2.619335662617529e-03	2.054147e+00	2.054147e-03
2.626171600117529e-03	2.054148e+00	2.054148e-03
2.633007537617529e-03	2.054148e+00	2.054148e-03
2.639843475117529e-03	2.054148e+00	2.054149e-03
2.646679412617529e-03	2.054149e+00	2.054149e-03
2.653515350117529e-03	2.054149e+00	2.054150e-03
2.660351287617529e-03	2.054149e+00	2.054150e-03
2.667187225117529e-03	2.054150e+00	2.054150e-03
2.674023162617529e-03	2.054150e+00	2.054150e-03
2.680859100117529e-03	2.054150e+00	2.054151e-03
