Freq.	V(out)*I(RL)/2
1.05544960087861e-002	2.48527743662265e-003,-5.88189239583615e-003
1.05591278604248e-002	2.49008341109751e-003,-5.89104560916353e-003
1.05637617447565e-002	2.49489757208835e-003,-5.90021383213865e-003
1.05683976626733e-002	2.49971993212065e-003,-5.90939709061527e-003
1.05730356150674e-002	2.50455050373580e-003,-5.91859541049391e-003
1.05776756028318e-002	2.50938929949180e-003,-5.92780881772095e-003
1.05823176268597e-002	2.51423633196267e-003,-5.93703733828953e-003
1.05869616880447e-002	2.51909161373917e-003,-5.94628099823878e-003
1.05916077872809e-002	2.52395515742813e-003,-5.95553982365469e-003
1.05962559254625e-002	2.52882697565267e-003,-5.96481384066995e-003
1.06009061034845e-002	2.53370708105224e-003,-5.97410307546412e-003
1.06055583222420e-002	2.53859548628330e-003,-5.98340755426264e-003
1.06102125826305e-002	2.54349220401773e-003,-5.99272730333924e-003
1.06148688855461e-002	2.54839724694463e-003,-6.00206234901344e-003
1.06195272318852e-002	2.55331062776922e-003,-6.01141271765232e-003
1.06241876225444e-002	2.55823235921309e-003,-6.02077843567015e-003
1.06288500584209e-002	2.56316245401424e-003,-6.03015952952846e-003
1.06335145404123e-002	2.56810092492714e-003,-6.03955602573613e-003
1.06381810694165e-002	2.57304778472313e-003,-6.04896795084899e-003
1.06428496463318e-002	2.57800304618932e-003,-6.05839533147120e-003
1.06475202720571e-002	2.58296672213034e-003,-6.06783819425320e-003
1.06521929474913e-002	2.58793882536610e-003,-6.07729656589479e-003
1.06568676735340e-002	2.59291936873417e-003,-6.08677047314194e-003
1.06615444510852e-002	2.59790836508791e-003,-6.09625994278952e-003
1.06662232810451e-002	2.60290582729749e-003,-6.10576500167994e-003
1.06709041643144e-002	2.60791176824976e-003,-6.11528567670351e-003
1.06755871017943e-002	2.61292620084794e-003,-6.12482199479890e-003
1.06802720943861e-002	2.61794913801196e-003,-6.13437398295290e-003
1.06849591429919e-002	2.62298059267866e-003,-6.14394166820005e-003
1.06896482485139e-002	2.62802057780071e-003,-6.15352507762439e-003
1.06943394118548e-002	2.63306910634803e-003,-6.16312423835761e-003
1.06990326339176e-002	2.63812619130721e-003,-6.17273917757984e-003
1.07037279156058e-002	2.64319184568151e-003,-6.18236992251987e-003
1.07084252578233e-002	2.64826608249033e-003,-6.19201650045592e-003
1.07131246614744e-002	2.65334891477039e-003,-6.20167893871418e-003
1.07178261274637e-002	2.65844035557467e-003,-6.21135726467032e-003
1.07225296566963e-002	2.66354041797328e-003,-6.22105150574839e-003
1.07272352500776e-002	2.66864911505249e-003,-6.23076168942238e-003
1.07319429085135e-002	2.67376645991607e-003,-6.24048784321428e-003
1.07366526329102e-002	2.67889246568367e-003,-6.25022999469662e-003
1.07413644241745e-002	2.68402714549256e-003,-6.25998817149009e-003
1.07460782832132e-002	2.68917051249602e-003,-6.26976240126583e-003
1.07507942109340e-002	2.69432257986491e-003,-6.27955271174342e-003
1.07555122082446e-002	2.69948336078629e-003,-6.28935913069296e-003
1.07602322760532e-002	2.70465286846396e-003,-6.29918168593425e-003
1.07649544152685e-002	2.70983111611915e-003,-6.30902040533606e-003
1.07696786267996e-002	2.71501811698955e-003,-6.31887531681775e-003
1.07744049115559e-002	2.72021388432968e-003,-6.32874644834838e-003
1.07791332704472e-002	2.72541843141097e-003,-6.33863382794724e-003
1.07838637043837e-002	2.73063177152197e-003,-6.34853748368351e-003
1.07885962142762e-002	2.73585391796755e-003,-6.35845744367714e-003
1.07933308010356e-002	2.74108488407024e-003,-6.36839373609766e-003
1.07980674655733e-002	2.74632468316910e-003,-6.37834638916532e-003
1.08028062088012e-002	2.75157332861994e-003,-6.38831543115134e-003
1.08075470316316e-002	2.75683083379575e-003,-6.39830089037712e-003
1.08122899349770e-002	2.76209721208655e-003,-6.40830279521471e-003
1.08170349197506e-002	2.76737247689918e-003,-6.41832117408715e-003
1.08217819868656e-002	2.77265664165735e-003,-6.42835605546851e-003
1.08265311372361e-002	2.77794971980228e-003,-6.43840746788310e-003
1.08312823717762e-002	2.78325172479155e-003,-6.44847543990733e-003
1.08360356914005e-002	2.78856267010020e-003,-6.45856000016805e-003
1.08407910970242e-002	2.79388256922014e-003,-6.46866117734365e-003
1.08455485895625e-002	2.79921143566053e-003,-6.47877900016355e-003
1.08503081699315e-002	2.80454928294713e-003,-6.48891349740930e-003
1.08550698390473e-002	2.80989612462306e-003,-6.49906469791351e-003
1.08598335978266e-002	2.81525197424870e-003,-6.50923263056032e-003
1.08645994471864e-002	2.82061684540161e-003,-6.51941732428538e-003
1.08693673880443e-002	2.82599075167569e-003,-6.52961880807721e-003
1.08741374213179e-002	2.83137370668274e-003,-6.53983711097519e-003
1.08789095479257e-002	2.83676572405154e-003,-6.55007226207097e-003
1.08836837687862e-002	2.84216681742749e-003,-6.56032429050895e-003
1.08884600848186e-002	2.84757700047405e-003,-6.57059322548463e-003
1.08932384969422e-002	2.85299628687115e-003,-6.58087909624655e-003
1.08980190060770e-002	2.85842469031614e-003,-6.59118193209553e-003
1.09028016131433e-002	2.86386222452360e-003,-6.60150176238467e-003
1.09075863190617e-002	2.86930890322538e-003,-6.61183861651960e-003
1.09123731247533e-002	2.87476474017032e-003,-6.62219252395906e-003
1.09171620311396e-002	2.88022974912478e-003,-6.63256351421397e-003
1.09219530391425e-002	2.88570394387193e-003,-6.64295161684884e-003
1.09267461496843e-002	2.89118733821266e-003,-6.65335686148055e-003
1.09315413636876e-002	2.89667994596509e-003,-6.66377927777895e-003
1.09363386820757e-002	2.90218178096407e-003,-6.67421889546787e-003
1.09411381057719e-002	2.90769285706301e-003,-6.68467574432271e-003
1.09459396357003e-002	2.91321318813066e-003,-6.69514985417471e-003
1.09507432727851e-002	2.91874278805513e-003,-6.70564125490613e-003
1.09555490179511e-002	2.92428167074050e-003,-6.71614997645424e-003
1.09603568721234e-002	2.92982985010871e-003,-6.72667604880949e-003
1.09651668362276e-002	2.93538734009911e-003,-6.73721950201583e-003
1.09699789111895e-002	2.94095415466810e-003,-6.74778036617158e-003
1.09747930979356e-002	2.94653030778972e-003,-6.75835867142871e-003
1.09796093973925e-002	2.95211581345544e-003,-6.76895444799290e-003
1.09844278104876e-002	2.95771068567400e-003,-6.77956772612443e-003
1.09892483381482e-002	2.96331493847139e-003,-6.79019853613778e-003
1.09940709813025e-002	2.96892858589151e-003,-6.80084690840127e-003
1.09988957408788e-002	2.97455164199545e-003,-6.81151287333795e-003
1.10037226178059e-002	2.98018412086116e-003,-6.82219646142614e-003
1.10085516130130e-002	2.98582603658526e-003,-6.83289770319714e-003
1.10133827274297e-002	2.99147740328089e-003,-6.84361662923823e-003
1.10182159619861e-002	2.99713823507887e-003,-6.85435327019144e-003
1.10230513176125e-002	3.00280854612805e-003,-6.86510765675277e-003
1.10278887952397e-002	3.00848835059386e-003,-6.87587981967455e-003
1.10327283957991e-002	3.01417766266023e-003,-6.88666978976298e-003
1.10375701202223e-002	3.01987649652787e-003,-6.89747759788039e-003
1.10424139694413e-002	3.02558486641534e-003,-6.90830327494414e-003
1.10472599443886e-002	3.03130278655862e-003,-6.91914685192706e-003
1.10521080459972e-002	3.03703027121174e-003,-6.93000835985691e-003
1.10569582752001e-002	3.04276733464579e-003,-6.94088782981778e-003
1.10618106329313e-002	3.04851399114935e-003,-6.95178529294959e-003
1.10666651201247e-002	3.05427025502916e-003,-6.96270078044727e-003
1.10715217377150e-002	3.06003614060946e-003,-6.97363432356197e-003
1.10763804866369e-002	3.06581166223167e-003,-6.98458595360133e-003
1.10812413678259e-002	3.07159683425487e-003,-6.99555570192915e-003
1.10861043822177e-002	3.07739167105622e-003,-7.00654359996485e-003
1.10909695307485e-002	3.08319618703056e-003,-7.01754967918417e-003
1.10958368143548e-002	3.08901039659001e-003,-7.02857397111977e-003
1.11007062339736e-002	3.09483431416451e-003,-7.03961650736070e-003
1.11055777905424e-002	3.10066795420216e-003,-7.05067731955202e-003
1.11104514849988e-002	3.10651133116760e-003,-7.06175643939692e-003
1.11153273182812e-002	3.11236445954440e-003,-7.07285389865415e-003
1.11202052913281e-002	3.11822735383342e-003,-7.08396972913963e-003
1.11250854050786e-002	3.12410002855315e-003,-7.09510396272670e-003
1.11299676604721e-002	3.12998249823983e-003,-7.10625663134580e-003
1.11348520584485e-002	3.13587477744758e-003,-7.11742776698441e-003
1.11397385999481e-002	3.14177688074843e-003,-7.12861740168718e-003
1.11446272859116e-002	3.14768882273163e-003,-7.13982556755703e-003
1.11495181172800e-002	3.15361061800515e-003,-7.15105229675326e-003
1.11544110949949e-002	3.15954228119381e-003,-7.16229762149394e-003
1.11593062199982e-002	3.16548382694064e-003,-7.17356157405447e-003
1.11642034932322e-002	3.17143526990694e-003,-7.18484418676772e-003
1.11691029156397e-002	3.17739662477092e-003,-7.19614549202542e-003
1.11740044881639e-002	3.18336790622954e-003,-7.20746552227653e-003
1.11789082117484e-002	3.18934912899705e-003,-7.21880431002875e-003
1.11838140873370e-002	3.19534030780581e-003,-7.23016188784785e-003
1.11887221158743e-002	3.20134145740564e-003,-7.24153828835847e-003
1.11936322983051e-002	3.20735259256541e-003,-7.25293354424244e-003
1.11985446355746e-002	3.21337372807029e-003,-7.26434768824207e-003
1.12034591286284e-002	3.21940487872495e-003,-7.27578075315644e-003
1.12083757784127e-002	3.22544605935042e-003,-7.28723277184552e-003
1.12132945858739e-002	3.23149728478691e-003,-7.29870377722654e-003
1.12182155519589e-002	3.23755856989198e-003,-7.31019380227662e-003
1.12231386776150e-002	3.24362992954133e-003,-7.32170288003166e-003
1.12280639637900e-002	3.24971137862870e-003,-7.33323104358679e-003
1.12329914114320e-002	3.25580293206538e-003,-7.34477832609722e-003
1.12379210214895e-002	3.26190460478148e-003,-7.35634476077618e-003
1.12428527949116e-002	3.26801641172382e-003,-7.36793038089851e-003
1.12477867326476e-002	3.27413836785849e-003,-7.37953521979697e-003
1.12527228356474e-002	3.28027048816924e-003,-7.39115931086448e-003
1.12576611048611e-002	3.28641278765725e-003,-7.40280268755481e-003
1.12626015412395e-002	3.29256528134282e-003,-7.41446538338021e-003
1.12675441457336e-002	3.29872798426312e-003,-7.42614743191471e-003
1.12724889192948e-002	3.30490091147409e-003,-7.43784886679152e-003
1.12774358628751e-002	3.31108407804959e-003,-7.44956972170447e-003
1.12823849774267e-002	3.31727749908174e-003,-7.46131003040754e-003
1.12873362639025e-002	3.32348118968033e-003,-7.47306982671586e-003
1.12922897232555e-002	3.32969516497389e-003,-7.48484914450433e-003
1.12972453564394e-002	3.33591944010818e-003,-7.49664801770999e-003
1.13022031644080e-002	3.34215403024761e-003,-7.50846648032979e-003
1.13071631481159e-002	3.34839895057511e-003,-7.52030456642125e-003
1.13121253085179e-002	3.35465421629066e-003,-7.53216231010463e-003
1.13170896465691e-002	3.36091984261392e-003,-7.54403974555911e-003
1.13220561632253e-002	3.36719584478093e-003,-7.55593690702769e-003
1.13270248594426e-002	3.37348223804749e-003,-7.56785382881270e-003
1.13319957361774e-002	3.37977903768654e-003,-7.57979054527948e-003
1.13369687943866e-002	3.38608625898978e-003,-7.59174709085409e-003
1.13419440350277e-002	3.39240391726658e-003,-7.60372350002523e-003
1.13469214590583e-002	3.39873202784507e-003,-7.61571980734268e-003
1.13519010674367e-002	3.40507060607136e-003,-7.62773604741848e-003
1.13568828611215e-002	3.41141966730966e-003,-7.63977225492724e-003
1.13618668410716e-002	3.41777922694283e-003,-7.65182846460475e-003
1.13668530082465e-002	3.42414930037127e-003,-7.66390471125051e-003
1.13718413636062e-002	3.43052990301479e-003,-7.67600102972473e-003
1.13768319081108e-002	3.43692105030988e-003,-7.68811745495251e-003
1.13818246427211e-002	3.44332275771257e-003,-7.70025402191957e-003
1.13868195683983e-002	3.44973504069678e-003,-7.71241076567519e-003
1.13918166861038e-002	3.45615791475478e-003,-7.72458772133154e-003
1.13968159967996e-002	3.46259139539704e-003,-7.73678492406379e-003
1.14018175014482e-002	3.46903549815249e-003,-7.74900240911010e-003
1.14068212010123e-002	3.47549023856798e-003,-7.76124021177241e-003
1.14118270964553e-002	3.48195563220904e-003,-7.77349836741557e-003
1.14168351887407e-002	3.48843169465992e-003,-7.78577691146741e-003
1.14218454788326e-002	3.49491844152207e-003,-7.79807587942077e-003
1.14268579676957e-002	3.50141588841685e-003,-7.81039530683035e-003
1.14318726562947e-002	3.50792405098249e-003,-7.82273522931640e-003
1.14368895455950e-002	3.51444294487684e-003,-7.83509568256163e-003
1.14419086365625e-002	3.52097258577506e-003,-7.84747670231419e-003
1.14469299301633e-002	3.52751298937138e-003,-7.85987832438550e-003
1.14519534273641e-002	3.53406417137807e-003,-7.87230058465174e-003
1.14569791291319e-002	3.54062614752669e-003,-7.88474351905230e-003
1.14620070364342e-002	3.54719893356573e-003,-7.89720716359297e-003
1.14670371502389e-002	3.55378254526355e-003,-7.90969155434252e-003
1.14720694715143e-002	3.56037699840575e-003,-7.92219672743595e-003
1.14771040012291e-002	3.56698230879719e-003,-7.93472271907183e-003
1.14821407403526e-002	3.57359849226137e-003,-7.94726956551372e-003
1.14871796898544e-002	3.58022556463901e-003,-7.95983730309191e-003
1.14922208507044e-002	3.58686354179080e-003,-7.97242596819983e-003
1.14972642238731e-002	3.59351243959459e-003,-7.98503559729800e-003
1.15023098103315e-002	3.60017227394798e-003,-7.99766622691091e-003
1.15073576110507e-002	3.60684306076659e-003,-8.01031789362895e-003
1.15124076270026e-002	3.61352481598364e-003,-8.02299063410959e-003
1.15174598591593e-002	3.62021755555196e-003,-8.03568448507468e-003
1.15225143084934e-002	3.62692129544256e-003,-8.04839948331239e-003
1.15275709759778e-002	3.63363605164547e-003,-8.06113566567626e-003
1.15326298625861e-002	3.64036184016822e-003,-8.07389306908748e-003
1.15376909692921e-002	3.64709867703756e-003,-8.08667173053250e-003
1.15427542970701e-002	3.65384657829897e-003,-8.09947168706414e-003
1.15478198468947e-002	3.66060556001583e-003,-8.11229297580239e-003
1.15528876197412e-002	3.66737563827064e-003,-8.12513563393340e-003
1.15579576165852e-002	3.67415682916447e-003,-8.13799969870981e-003
1.15630298384025e-002	3.68094914881675e-003,-8.15088520745190e-003
1.15681042861698e-002	3.68775261336554e-003,-8.16379219754629e-003
1.15731809608637e-002	3.69456723896739e-003,-8.17672070644753e-003
1.15782598634617e-002	3.70139304179801e-003,-8.18967077167608e-003
1.15833409949414e-002	3.70823003805114e-003,-8.20264243082123e-003
1.15884243562810e-002	3.71507824393909e-003,-8.21563572153916e-003
1.15935099484590e-002	3.72193767569354e-003,-8.22865068155324e-003
1.15985977724545e-002	3.72880834956424e-003,-8.24168734865499e-003
1.16036878292468e-002	3.73569028181903e-003,-8.25474576070444e-003
1.16087801198160e-002	3.74258348874623e-003,-8.26782595562782e-003
1.16138746451422e-002	3.74948798665074e-003,-8.28092797142147e-003
1.16189714062062e-002	3.75640379185751e-003,-8.29405184614866e-003
1.16240704039891e-002	3.76333092070913e-003,-8.30719761794209e-003
1.16291716394725e-002	3.77026938956826e-003,-8.32036532500118e-003
1.16342751136385e-002	3.77721921481481e-003,-8.33355500559598e-003
1.16393808274694e-002	3.78418041284861e-003,-8.34676669806356e-003
1.16444887819483e-002	3.79115300008708e-003,-8.36000044081122e-003
1.16495989780583e-002	3.79813699296710e-003,-8.37325627231447e-003
1.16547114167832e-002	3.80513240794435e-003,-8.38653423111761e-003
1.16598260991072e-002	3.81213926149252e-003,-8.39983435583519e-003
1.16649430260149e-002	3.81915757010451e-003,-8.41315668515048e-003
1.16700621984914e-002	3.82618735029257e-003,-8.42650125781549e-003
1.16751836175221e-002	3.83322861858629e-003,-8.43986811265353e-003
1.16803072840929e-002	3.84028139153507e-003,-8.45325728855637e-003
1.16854331991901e-002	3.84734568570701e-003,-8.46666882448577e-003
1.16905613638005e-002	3.85442151768833e-003,-8.48010275947409e-003
1.16956917789114e-002	3.86150890408496e-003,-8.49355913262278e-003
1.17008244455103e-002	3.86860786152087e-003,-8.50703798310439e-003
1.17059593645853e-002	3.87571840663911e-003,-8.52053935016141e-003
1.17110965371250e-002	3.88284055610145e-003,-8.53406327310711e-003
1.17162359641182e-002	3.88997432658848e-003,-8.54760979132514e-003
1.17213776465543e-002	3.89711973479960e-003,-8.56117894426997e-003
1.17265215854231e-002	3.90427679745338e-003,-8.57477077146633e-003
1.17316677817149e-002	3.91144553128620e-003,-8.58838531251160e-003
1.17368162364204e-002	3.91862595305466e-003,-8.60202260707202e-003
1.17419669505306e-002	3.92581807953301e-003,-8.61568269488704e-003
1.17471199250371e-002	3.93302192751528e-003,-8.62936561576595e-003
1.17522751609318e-002	3.94023751381342e-003,-8.64307140959100e-003
1.17574326592073e-002	3.94746485525890e-003,-8.65680011631496e-003
1.17625924208562e-002	3.95470396870184e-003,-8.67055177596286e-003
1.17677544468720e-002	3.96195487101104e-003,-8.68432642863170e-003
1.17729187382483e-002	3.96921757907468e-003,-8.69812411448988e-003
1.17780852959792e-002	3.97649210979966e-003,-8.71194487377819e-003
1.17832541210595e-002	3.98377848011105e-003,-8.72578874681069e-003
1.17884252144841e-002	3.99107670695374e-003,-8.73965577397238e-003
1.17935985772484e-002	3.99838680729099e-003,-8.75354599572183e-003
1.17987742103484e-002	4.00570879810533e-003,-8.76745945258967e-003
1.18039521147804e-002	4.01304269639727e-003,-8.78139618518030e-003
1.18091322915412e-002	4.02038851918806e-003,-8.79535623416908e-003
1.18143147416280e-002	4.02774628351580e-003,-8.80933964030671e-003
1.18194994660385e-002	4.03511600643889e-003,-8.82334644441580e-003
1.18246864657707e-002	4.04249770503425e-003,-8.83737668739233e-003
1.18298757418231e-002	4.04989139639719e-003,-8.85143041020670e-003
1.18350672951948e-002	4.05729709764337e-003,-8.86550765390100e-003
1.18402611268852e-002	4.06471482590557e-003,-8.87960845959340e-003
1.18454572378940e-002	4.07214459833691e-003,-8.89373286847420e-003
1.18506556292216e-002	4.07958643210889e-003,-8.90788092180838e-003
1.18558563018687e-002	4.08704034441207e-003,-8.92205266093489e-003
1.18610592568364e-002	4.09450635245616e-003,-8.93624812726687e-003
1.18662644951264e-002	4.10198447346933e-003,-8.95046736229211e-003
1.18714720177406e-002	4.10947472469909e-003,-8.96471040757296e-003
1.18766818256816e-002	4.11697712341246e-003,-8.97897730474526e-003
1.18818939199523e-002	4.12449168689393e-003,-8.99326809552210e-003
1.18871083015560e-002	4.13201843244832e-003,-9.00758282168927e-003
1.18923249714966e-002	4.13955737739916e-003,-9.02192152510831e-003
1.18975439307782e-002	4.14710853908857e-003,-9.03628424771650e-003
1.19027651804056e-002	4.15467193487845e-003,-9.05067103152515e-003
1.19079887213838e-002	4.16224758214829e-003,-9.06508191862312e-003
1.19132145547185e-002	4.16983549829855e-003,-9.07951695117231e-003
1.19184426814156e-002	4.17743570074676e-003,-9.09397617141284e-003
1.19236731024816e-002	4.18504820693082e-003,-9.10845962165897e-003
1.19289058189234e-002	4.19267303430706e-003,-9.12296734430188e-003
1.19341408317483e-002	4.20031020035060e-003,-9.13749938180873e-003
1.19393781419640e-002	4.20795972255651e-003,-9.15205577672237e-003
1.19446177505788e-002	4.21562161843804e-003,-9.16663657166293e-003
1.19498596586014e-002	4.22329590552799e-003,-9.18124180932639e-003
1.19551038670407e-002	4.23098260137767e-003,-9.19587153248610e-003
1.19603503769065e-002	4.23868172355789e-003,-9.21052578399187e-003
1.19655991892086e-002	4.24639328965831e-003,-9.22520460677051e-003
