Freq.	V(vin)/-I(Vg)
1.47910838816819e-002	1.06824420689970e+005,-4.89334535469757e+006
1.48251808514594e-002	1.06823357692504e+005,-4.88210168029749e+006
1.48593564228699e-002	1.06822289881936e+005,-4.87088388936221e+006
1.48936107771090e-002	1.06821217236875e+005,-4.85969192240963e+006
1.49279440957898e-002	1.06820139735859e+005,-4.84852572009454e+006
1.49623565609442e-002	1.06819057357387e+005,-4.83738522320829e+006
1.49968483550236e-002	1.06817970079800e+005,-4.82627037267847e+006
1.50314196609001e-002	1.06816877881329e+005,-4.81518110956859e+006
1.50660706618673e-002	1.06815780740217e+005,-4.80411737507779e+006
1.51008015416413e-002	1.06814678634502e+005,-4.79307911054051e+006
1.51356124843619e-002	1.06813571542193e+005,-4.78206625742618e+006
1.51705036745932e-002	1.06812459441190e+005,-4.77107875733893e+006
1.52054752973248e-002	1.06811342309292e+005,-4.76011655201724e+006
1.52405275379728e-002	1.06810220124213e+005,-4.74917958333368e+006
1.52756605823806e-002	1.06809092863581e+005,-4.73826779329455e+006
1.53108746168202e-002	1.06807960504898e+005,-4.72738112403962e+006
1.53461698279928e-002	1.06806823025603e+005,-4.71651951784178e+006
1.53815464030302e-002	1.06805680403016e+005,-4.70568291710676e+006
1.54170045294954e-002	1.06804532614407e+005,-4.69487126437285e+006
1.54525443953840e-002	1.06803379636857e+005,-4.68408450231051e+006
1.54881661891247e-002	1.06802221447455e+005,-4.67332257372216e+006
1.55238700995807e-002	1.06801058023138e+005,-4.66258542154183e+006
1.55596563160506e-002	1.06799889340734e+005,-4.65187298883485e+006
1.55955250282694e-002	1.06798715377005e+005,-4.64118521879756e+006
1.56314764264094e-002	1.06797536108613e+005,-4.63052205475704e+006
1.56675107010813e-002	1.06796351512119e+005,-4.61988344017073e+006
1.57036280433354e-002	1.06795161563931e+005,-4.60926931862622e+006
1.57398286446620e-002	1.06793966240447e+005,-4.59867963384089e+006
1.57761126969933e-002	1.06792765517925e+005,-4.58811432966165e+006
1.58124803927037e-002	1.06791559372496e+005,-4.57757335006457e+006
1.58489319246110e-002	1.06790347780236e+005,-4.56705663915471e+006
1.58854674859776e-002	1.06789130717087e+005,-4.55656414116569e+006
1.59220872705115e-002	1.06787908158913e+005,-4.54609580045948e+006
1.59587914723672e-002	1.06786680081464e+005,-4.53565156152607e+006
1.59955802861465e-002	1.06785446460391e+005,-4.52523136898317e+006
1.60324539069002e-002	1.06784207271236e+005,-4.51483516757596e+006
1.60694125301286e-002	1.06782962489446e+005,-4.50446290217673e+006
1.61064563517825e-002	1.06781712090377e+005,-4.49411451778465e+006
1.61435855682647e-002	1.06780456049242e+005,-4.48378995952543e+006
1.61808003764305e-002	1.06779194341204e+005,-4.47348917265106e+006
1.62181009735891e-002	1.06777926941286e+005,-4.46321210253951e+006
1.62554875575047e-002	1.06776653824407e+005,-4.45295869469443e+006
1.62929603263971e-002	1.06775374965403e+005,-4.44272889474487e+006
1.63305194789432e-002	1.06774090338974e+005,-4.43252264844501e+006
1.63681652142779e-002	1.06772799919746e+005,-4.42233990167383e+006
1.64058977319952e-002	1.06771503682216e+005,-4.41218060043486e+006
1.64437172321491e-002	1.06770201600783e+005,-4.40204469085586e+006
1.64816239152549e-002	1.06768893649742e+005,-4.39193211918857e+006
1.65196179822900e-002	1.06767579803276e+005,-4.38184283180840e+006
1.65576996346951e-002	1.06766260035480e+005,-4.37177677521416e+006
1.65958690743754e-002	1.06764934320283e+005,-4.36173389602777e+006
1.66341265037015e-002	1.06763602631565e+005,-4.35171414099396e+006
1.66724721255104e-002	1.06762264943078e+005,-4.34171745698001e+006
1.67109061431069e-002	1.06760921228479e+005,-4.33174379097547e+006
1.67494287602642e-002	1.06759571461300e+005,-4.32179309009187e+006
1.67880401812254e-002	1.06758215614913e+005,-4.31186530156240e+006
1.68267406107045e-002	1.06756853662695e+005,-4.30196037274173e+006
1.68655302538872e-002	1.06755485577807e+005,-4.29207825110562e+006
1.69044093164324e-002	1.06754111333372e+005,-4.28221888425071e+006
1.69433780044731e-002	1.06752730902347e+005,-4.27238221989422e+006
1.69824365246172e-002	1.06751344257576e+005,-4.26256820587366e+006
1.70215850839493e-002	1.06749951371859e+005,-4.25277679014661e+006
1.70608238900310e-002	1.06748552217807e+005,-4.24300792079033e+006
1.71001531509027e-002	1.06747146767950e+005,-4.23326154600162e+006
1.71395730750841e-002	1.06745734994709e+005,-4.22353761409645e+006
1.71790838715757e-002	1.06744316870390e+005,-4.21383607350972e+006
1.72186857498599e-002	1.06742892367177e+005,-4.20415687279497e+006
1.72583789199018e-002	1.06741461457130e+005,-4.19449996062415e+006
1.72981635921508e-002	1.06740024112217e+005,-4.18486528578728e+006
1.73380399775412e-002	1.06738580304258e+005,-4.17525279719223e+006
1.73780082874935e-002	1.06737130005001e+005,-4.16566244386444e+006
1.74180687339159e-002	1.06735673186028e+005,-4.15609417494663e+006
1.74582215292048e-002	1.06734209818837e+005,-4.14654793969855e+006
1.74984668862464e-002	1.06732739874823e+005,-4.13702368749670e+006
1.75388050184174e-002	1.06731263325220e+005,-4.12752136783405e+006
1.75792361395867e-002	1.06729780141160e+005,-4.11804093031981e+006
1.76197604641161e-002	1.06728290293680e+005,-4.10858232467912e+006
1.76603782068614e-002	1.06726793753661e+005,-4.09914550075281e+006
1.77010895831740e-002	1.06725290491889e+005,-4.08973040849711e+006
1.77418948089014e-002	1.06723780479028e+005,-4.08033699798342e+006
1.77827941003890e-002	1.06722263685606e+005,-4.07096521939801e+006
1.78237876744807e-002	1.06720740082061e+005,-4.06161502304178e+006
1.78648757485203e-002	1.06719209638676e+005,-4.05228635932996e+006
1.79060585403527e-002	1.06717672325613e+005,-4.04297917879189e+006
1.79473362683250e-002	1.06716128112959e+005,-4.03369343207075e+006
1.79887091512877e-002	1.06714576970619e+005,-4.02442906992326e+006
1.80301774085955e-002	1.06713018868417e+005,-4.01518604321947e+006
1.80717412601090e-002	1.06711453776031e+005,-4.00596430294245e+006
1.81134009261958e-002	1.06709881663021e+005,-3.99676380018808e+006
1.81551566277311e-002	1.06708302498826e+005,-3.98758448616474e+006
1.81970085860996e-002	1.06706716252771e+005,-3.97842631219309e+006
1.82389570231961e-002	1.06705122894019e+005,-3.96928922970579e+006
1.82810021614272e-002	1.06703522391658e+005,-3.96017319024725e+006
1.83231442237119e-002	1.06701914714610e+005,-3.95107814547337e+006
1.83653834334832e-002	1.06700299831677e+005,-3.94200404715129e+006
1.84077200146893e-002	1.06698677711554e+005,-3.93295084715912e+006
1.84501541917945e-002	1.06697048322810e+005,-3.92391849748569e+006
1.84926861897805e-002	1.06695411633859e+005,-3.91490695023032e+006
1.85353162341479e-002	1.06693767612994e+005,-3.90591615760250e+006
1.85780445509167e-002	1.06692116228418e+005,-3.89694607192173e+006
1.86208713666284e-002	1.06690457448131e+005,-3.88799664561717e+006
1.86637969083464e-002	1.06688791240084e+005,-3.87906783122745e+006
1.87068214036577e-002	1.06687117572046e+005,-3.87015958140042e+006
1.87499450806739e-002	1.06685436411667e+005,-3.86127184889286e+006
1.87931681680324e-002	1.06683747726479e+005,-3.85240458657024e+006
1.88364908948977e-002	1.06682051483881e+005,-3.84355774740649e+006
1.88799134909627e-002	1.06680347651111e+005,-3.83473128448374e+006
1.89234361864495e-002	1.06678636195313e+005,-3.82592515099207e+006
1.89670592121112e-002	1.06676917083495e+005,-3.81713930022924e+006
1.90107827992327e-002	1.06675190282496e+005,-3.80837368560048e+006
1.90546071796322e-002	1.06673455759067e+005,-3.79962826061823e+006
1.90985325856621e-002	1.06671713479804e+005,-3.79090297890187e+006
1.91425592502106e-002	1.06669963411149e+005,-3.78219779417750e+006
1.91866874067026e-002	1.06668205519444e+005,-3.77351266027767e+006
1.92309172891013e-002	1.06666439770868e+005,-3.76484753114118e+006
1.92752491319091e-002	1.06664666131524e+005,-3.75620236081278e+006
1.93196831701690e-002	1.06662884567278e+005,-3.74757710344295e+006
1.93642196394658e-002	1.06661095043928e+005,-3.73897171328767e+006
1.94088587759275e-002	1.06659297527160e+005,-3.73038614470816e+006
1.94536008162263e-002	1.06657491982443e+005,-3.72182035217063e+006
1.94984459975802e-002	1.06655678375159e+005,-3.71327429024607e+006
1.95433945577537e-002	1.06653856670554e+005,-3.70474791360996e+006
1.95884467350596e-002	1.06652026833730e+005,-3.69624117704209e+006
1.96336027683602e-002	1.06650188829629e+005,-3.68775403542626e+006
1.96788628970682e-002	1.06648342623054e+005,-3.67928644375006e+006
1.97242273611482e-002	1.06646488178727e+005,-3.67083835710468e+006
1.97696964011183e-002	1.06644625461139e+005,-3.66240973068459e+006
1.98152702580507e-002	1.06642754434726e+005,-3.65400051978735e+006
1.98609491735734e-002	1.06640875063711e+005,-3.64561067981336e+006
1.99067333898716e-002	1.06638987312227e+005,-3.63724016626565e+006
1.99526231496885e-002	1.06637091144229e+005,-3.62888893474958e+006
1.99986186963271e-002	1.06635186523560e+005,-3.62055694097268e+006
2.00447202736513e-002	1.06633273413899e+005,-3.61224414074436e+006
2.00909281260870e-002	1.06631351778792e+005,-3.60395048997568e+006
2.01372424986236e-002	1.06629421581630e+005,-3.59567594467916e+006
2.01836636368153e-002	1.06627482785681e+005,-3.58742046096851e+006
2.02301917867824e-002	1.06625535354025e+005,-3.57918399505836e+006
2.02768271952125e-002	1.06623579249653e+005,-3.57096650326411e+006
2.03235701093619e-002	1.06621614435362e+005,-3.56276794200166e+006
2.03704207770569e-002	1.06619640873834e+005,-3.55458826778715e+006
2.04173794466950e-002	1.06617658527597e+005,-3.54642743723677e+006
2.04644463672464e-002	1.06615667359001e+005,-3.53828540706650e+006
2.05116217882553e-002	1.06613667330328e+005,-3.53016213409191e+006
2.05589059598411e-002	1.06611658403598e+005,-3.52205757522789e+006
2.06062991326997e-002	1.06609640540776e+005,-3.51397168748846e+006
2.06538015581050e-002	1.06607613703628e+005,-3.50590442798654e+006
2.07014134879101e-002	1.06605577853804e+005,-3.49785575393367e+006
2.07491351745488e-002	1.06603532952780e+005,-3.48982562263985e+006
2.07969668710366e-002	1.06601478961895e+005,-3.48181399151328e+006
2.08449088309725e-002	1.06599415842313e+005,-3.47382081806012e+006
2.08929613085400e-002	1.06597343555101e+005,-3.46584605988429e+006
2.09411245585086e-002	1.06595262061099e+005,-3.45788967468725e+006
2.09893988362349e-002	1.06593171321061e+005,-3.44995162026773e+006
2.10377843976644e-002	1.06591071295527e+005,-3.44203185452156e+006
2.10862814993325e-002	1.06588961944965e+005,-3.43413033544141e+006
2.11348903983661e-002	1.06586843229593e+005,-3.42624702111658e+006
2.11836113524847e-002	1.06584715109576e+005,-3.41838186973279e+006
2.12324446200018e-002	1.06582577544823e+005,-3.41053483957191e+006
2.12813904598268e-002	1.06580430495168e+005,-3.40270588901181e+006
2.13304491314654e-002	1.06578273920252e+005,-3.39489497652607e+006
2.13796208950219e-002	1.06576107779557e+005,-3.38710206068380e+006
2.14289060112002e-002	1.06573932032431e+005,-3.37932710014942e+006
2.14783047413050e-002	1.06571746638058e+005,-3.37157005368240e+006
2.15278173472434e-002	1.06569551555445e+005,-3.36383088013710e+006
2.15774440915263e-002	1.06567346743463e+005,-3.35610953846250e+006
2.16271852372698e-002	1.06565132160813e+005,-3.34840598770201e+006
2.16770410481966e-002	1.06562907766039e+005,-3.34072018699324e+006
2.17270117886371e-002	1.06560673517549e+005,-3.33305209556779e+006
2.17770977235312e-002	1.06558429373549e+005,-3.32540167275103e+006
2.18272991184296e-002	1.06556175292113e+005,-3.31776887796189e+006
2.18776162394951e-002	1.06553911231136e+005,-3.31015367071261e+006
2.19280493535041e-002	1.06551637148397e+005,-3.30255601060859e+006
2.19785987278479e-002	1.06549353001465e+005,-3.29497585734812e+006
2.20292646305342e-002	1.06547058747761e+005,-3.28741317072216e+006
2.20800473301886e-002	1.06544754344536e+005,-3.27986791061420e+006
2.21309470960560e-002	1.06542439748907e+005,-3.27234003699994e+006
2.21819641980018e-002	1.06540114917802e+005,-3.26482950994716e+006
2.22330989065136e-002	1.06537779808001e+005,-3.25733628961550e+006
2.22843514927026e-002	1.06535434376084e+005,-3.24986033625617e+006
2.23357222283049e-002	1.06533078578519e+005,-3.24240161021186e+006
2.23872113856830e-002	1.06530712371579e+005,-3.23496007191642e+006
2.24388192378273e-002	1.06528335711375e+005,-3.22753568189472e+006
2.24905460583574e-002	1.06525948553841e+005,-3.22012840076241e+006
2.25423921215239e-002	1.06523550854764e+005,-3.21273818922568e+006
2.25943577022094e-002	1.06521142569778e+005,-3.20536500808115e+006
2.26464430759302e-002	1.06518723654301e+005,-3.19800881821555e+006
2.26986485188378e-002	1.06516294063618e+005,-3.19066958060556e+006
2.27509743077203e-002	1.06513853752839e+005,-3.18334725631762e+006
2.28034207200038e-002	1.06511402676898e+005,-3.17604180650769e+006
2.28559880337539e-002	1.06508940790591e+005,-3.16875319242108e+006
2.29086765276773e-002	1.06506468048504e+005,-3.16148137539219e+006
2.29614864811232e-002	1.06503984405059e+005,-3.15422631684435e+006
2.30144181740846e-002	1.06501489814544e+005,-3.14698797828959e+006
2.30674718872003e-002	1.06498984231026e+005,-3.13976632132847e+006
2.31206479017555e-002	1.06496467608421e+005,-3.13256130764981e+006
2.31739464996843e-002	1.06493939900493e+005,-3.12537289903056e+006
2.32273679635706e-002	1.06491401060825e+005,-3.11820105733555e+006
2.32809125766496e-002	1.06488851042794e+005,-3.11104574451730e+006
2.33345806228096e-002	1.06486289799647e+005,-3.10390692261582e+006
2.33883723865931e-002	1.06483717284442e+005,-3.09678455375840e+006
2.34422881531988e-002	1.06481133450030e+005,-3.08967860015940e+006
2.34963282084826e-002	1.06478538249171e+005,-3.08258902412009e+006
2.35504928389596e-002	1.06475931634364e+005,-3.07551578802841e+006
2.36047823318053e-002	1.06473313557975e+005,-3.06845885435877e+006
2.36591969748571e-002	1.06470683972182e+005,-3.06141818567187e+006
2.37137370566161e-002	1.06468042828984e+005,-3.05439374461449e+006
2.37684028662483e-002	1.06465390080230e+005,-3.04738549391930e+006
2.38231946935864e-002	1.06462725677558e+005,-3.04039339640464e+006
2.38781128291313e-002	1.06460049572439e+005,-3.03341741497434e+006
2.39331575640534e-002	1.06457361716173e+005,-3.02645751261752e+006
2.39883291901944e-002	1.06454662059887e+005,-3.01951365240839e+006
2.40436280000688e-002	1.06451950554504e+005,-3.01258579750607e+006
2.40990542868655e-002	1.06449227150804e+005,-3.00567391115435e+006
2.41546083444489e-002	1.06446491799345e+005,-2.99877795668154e+006
2.42102904673613e-002	1.06443744450539e+005,-2.99189789750025e+006
2.42661009508237e-002	1.06440985054606e+005,-2.98503369710721e+006
2.43220400907377e-002	1.06438213561580e+005,-2.97818531908307e+006
2.43781081836870e-002	1.06435429921338e+005,-2.97135272709218e+006
2.44343055269392e-002	1.06432634083532e+005,-2.96453588488244e+006
2.44906324184469e-002	1.06429825997652e+005,-2.95773475628508e+006
2.45470891568498e-002	1.06427005613028e+005,-2.95094930521448e+006
2.46036760414758e-002	1.06424172878775e+005,-2.94417949566797e+006
2.46603933723429e-002	1.06421327743861e+005,-2.93742529172563e+006
2.47172414501608e-002	1.06418470157001e+005,-2.93068665755011e+006
2.47742205763323e-002	1.06415600066820e+005,-2.92396355738646e+006
2.48313310529552e-002	1.06412717421684e+005,-2.91725595556189e+006
2.48885731828234e-002	1.06409822169811e+005,-2.91056381648561e+006
2.49459472694290e-002	1.06406914259210e+005,-2.90388710464864e+006
2.50034536169638e-002	1.06403993637732e+005,-2.89722578462363e+006
2.50610925303206e-002	1.06401060253006e+005,-2.89057982106463e+006
2.51188643150953e-002	1.06398114052502e+005,-2.88394917870696e+006
2.51767692775880e-002	1.06395154983496e+005,-2.87733382236698e+006
2.52348077248052e-002	1.06392182993082e+005,-2.87073371694191e+006
2.52929799644609e-002	1.06389198028165e+005,-2.86414882740965e+006
2.53512863049785e-002	1.06386200035447e+005,-2.85757911882859e+006
2.54097270554925e-002	1.06383188961437e+005,-2.85102455633743e+006
2.54683025258499e-002	1.06380164752492e+005,-2.84448510515499e+006
2.55270130266119e-002	1.06377127354740e+005,-2.83796073058000e+006
2.55858588690559e-002	1.06374076714153e+005,-2.83145139799096e+006
