Freq.	V(vout)*exp(i*Pi)
1.94536008162263e-001	1.91606244535161e+001,2.57699031119355e+000
1.94984459975802e-001	1.91553301737212e+001,2.59128938649037e+000
1.95433945577536e-001	1.91500436953919e+001,2.60562112642857e+000
1.95884467350596e-001	1.91447650120762e+001,2.61998554976310e+000
1.96336027683602e-001	1.91394941169907e+001,2.63438267549980e+000
1.96788628970681e-001	1.91342310030276e+001,2.64881252289423e+000
1.97242273611482e-001	1.91289756627476e+001,2.66327511146234e+000
1.97696964011183e-001	1.91237280884037e+001,2.67777046097544e+000
1.98152702580507e-001	1.91184882718611e+001,2.69229859145172e+000
1.98609491735734e-001	1.91132562047536e+001,2.70685952319494e+000
1.99067333898716e-001	1.91080318783588e+001,2.72145327676260e+000
1.99526231496885e-001	1.91028152835732e+001,2.73607987296460e+000
1.99986186963271e-001	1.90976064110715e+001,2.75073933290434e+000
2.00447202736513e-001	1.90924052511323e+001,2.76543167793459e+000
2.00909281260870e-001	1.90872117937738e+001,2.78015692969878e+000
2.01372424986236e-001	1.90820260286442e+001,2.79491511009815e+000
2.01836636368153e-001	1.90768479451064e+001,2.80970624131961e+000
2.02301917867824e-001	1.90716775321714e+001,2.82453034582150e+000
2.02768271952125e-001	1.90665147785925e+001,2.83938744635829e+000
2.03235701093619e-001	1.90613596727483e+001,2.85427756594900e+000
2.03704207770569e-001	1.90562122027698e+001,2.86920072791695e+000
2.04173794466950e-001	1.90510723563830e+001,2.88415695584873e+000
2.04644463672464e-001	1.90459401210817e+001,2.89914627363865e+000
2.05116217882553e-001	1.90408154840291e+001,2.91416870547226e+000
2.05589059598411e-001	1.90356984320337e+001,2.92922427580884e+000
2.06062991326997e-001	1.90305889516597e+001,2.94431300942660e+000
2.06538015581050e-001	1.90254870291176e+001,2.95943493138583e+000
2.07014134879101e-001	1.90203926503314e+001,2.97459006705412e+000
2.07491351745488e-001	1.90153058008964e+001,2.98977844208957e+000
2.07969668710366e-001	1.90102264661160e+001,3.00500008246206e+000
2.08449088309725e-001	1.90051546309920e+001,3.02025501444691e+000
2.08929613085400e-001	1.90000902801991e+001,3.03554326461534e+000
2.09411245585086e-001	1.89950333981531e+001,3.05086485986598e+000
2.09893988362349e-001	1.89899839689200e+001,3.06621982739236e+000
2.10377843976644e-001	1.89849419762862e+001,3.08160819470636e+000
2.10862814993325e-001	1.89799074037021e+001,3.09702998962421e+000
2.11348903983661e-001	1.89748802343890e+001,3.11248524030307e+000
2.11836113524847e-001	1.89698604512165e+001,3.12797397519817e+000
2.12324446200018e-001	1.89648480367502e+001,3.14349622308661e+000
2.12813904598267e-001	1.89598429733110e+001,3.15905201308309e+000
2.13304491314654e-001	1.89548452428499e+001,3.17464137460232e+000
2.13796208950219e-001	1.89498548270246e+001,3.19026433738739e+000
2.14289060112002e-001	1.89448717072945e+001,3.20592093154003e+000
2.14783047413050e-001	1.89398958647633e+001,3.22161118746991e+000
2.15278173472433e-001	1.89349272802088e+001,3.23733513590861e+000
2.15774440915263e-001	1.89299659341313e+001,3.25309280792672e+000
2.16271852372698e-001	1.89250118067970e+001,3.26888423494810e+000
2.16770410481966e-001	1.89200648780849e+001,3.28470944869935e+000
2.17270117886371e-001	1.89151251277217e+001,3.30056848129564e+000
2.17770977235312e-001	1.89101925350175e+001,3.31646136514695e+000
2.18272991184296e-001	1.89052670790169e+001,3.33238813301358e+000
2.18776162394951e-001	1.89003487385269e+001,3.34834881801736e+000
2.19280493535041e-001	1.88954374920574e+001,3.36434345362171e+000
2.19785987278478e-001	1.88905333177820e+001,3.38037207361873e+000
2.20292646305342e-001	1.88856361936513e+001,3.39643471217480e+000
2.20800473301886e-001	1.88807460973178e+001,3.41253140379770e+000
2.21309470960560e-001	1.88758630061298e+001,3.42866218334318e+000
2.21819641980018e-001	1.88709868971460e+001,3.44482708601902e+000
2.22330989065136e-001	1.88661177472014e+001,3.46102614740679e+000
2.22843514927026e-001	1.88612555328071e+001,3.47725940343548e+000
2.23357222283049e-001	1.88564002301910e+001,3.49352689038707e+000
2.23872113856830e-001	1.88515518153289e+001,3.50982864491557e+000
2.24388192378272e-001	1.88467102639037e+001,3.52616470403493e+000
2.24905460583574e-001	1.88418755513100e+001,3.54253510511758e+000
2.25423921215239e-001	1.88370476527116e+001,3.55893988591680e+000
2.25943577022094e-001	1.88322265429874e+001,3.57537908455504e+000
2.26464430759302e-001	1.88274121966763e+001,3.59185273949557e+000
2.26986485188378e-001	1.88226045881158e+001,3.60836088960248e+000
2.27509743077203e-001	1.88178036913715e+001,3.62490357411020e+000
2.28034207200037e-001	1.88130094801840e+001,3.64148083261158e+000
2.28559880337539e-001	1.88082219281044e+001,3.65809270510347e+000
2.29086765276773e-001	1.88034410083430e+001,3.67473923193307e+000
2.29614864811232e-001	1.87986666938861e+001,3.69142045384509e+000
2.30144181740846e-001	1.87938989574198e+001,3.70813641195601e+000
2.30674718872002e-001	1.87891377713935e+001,3.72488714777105e+000
2.31206479017555e-001	1.87843831080145e+001,3.74167270319196e+000
2.31739464996843e-001	1.87796349391264e+001,3.75849312046910e+000
2.32273679635706e-001	1.87748932364279e+001,3.77534844228679e+000
2.32809125766496e-001	1.87701579712986e+001,3.79223871169504e+000
2.33345806228096e-001	1.87654291148377e+001,3.80916397212797e+000
2.33883723865931e-001	1.87607066379500e+001,3.82612426743937e+000
2.34422881531988e-001	1.87559905112212e+001,3.84311964185399e+000
2.34963282084826e-001	1.87512807050005e+001,3.86015013999916e+000
2.35504928389596e-001	1.87465771893705e+001,3.87721580689989e+000
2.36047823318053e-001	1.87418799341848e+001,3.89431668798919e+000
2.36591969748571e-001	1.87371889090020e+001,3.91145282908383e+000
2.37137370566161e-001	1.87325040831604e+001,3.92862427641889e+000
2.37684028662483e-001	1.87278254257299e+001,3.94583107662843e+000
2.38231946935864e-001	1.87231529055381e+001,3.96307327675421e+000
2.38781128291313e-001	1.87184864911149e+001,3.98035092422644e+000
2.39331575640534e-001	1.87138261508095e+001,3.99766406691301e+000
2.39883291901944e-001	1.87091718526786e+001,4.01501275307526e+000
2.40436280000688e-001	1.87045235645233e+001,4.03239703138386e+000
2.40990542868655e-001	1.86998812539169e+001,4.04981695092952e+000
2.41546083444489e-001	1.86952448882106e+001,4.06727256123041e+000
2.42102904673613e-001	1.86906144344307e+001,4.08476391218793e+000
2.42661009508237e-001	1.86859898594266e+001,4.10229105414784e+000
2.43220400907376e-001	1.86813711297773e+001,4.11985403786553e+000
2.43781081836870e-001	1.86767582118351e+001,4.13745291452643e+000
2.44343055269392e-001	1.86721510716805e+001,4.15508773572487e+000
2.44906324184469e-001	1.86675496751673e+001,4.17275855348582e+000
2.45470891568498e-001	1.86629539878837e+001,4.19046542024667e+000
2.46036760414758e-001	1.86583639752610e+001,4.20820838891236e+000
2.46603933723429e-001	1.86537796024121e+001,4.22598751277809e+000
2.47172414501608e-001	1.86492008341577e+001,4.24380284554752e+000
2.47742205763323e-001	1.86446276352490e+001,4.26165444143101e+000
2.48313310529552e-001	1.86400599700496e+001,4.27954235500016e+000
2.48885731828234e-001	1.86354978027561e+001,4.29746664129746e+000
2.49459472694290e-001	1.86309410973229e+001,4.31542735579349e+000
2.50034536169638e-001	1.86263898174397e+001,4.33342455438558e+000
2.50610925303206e-001	1.86218439266194e+001,4.35145829343288e+000
2.51188643150953e-001	1.86173033880514e+001,4.36952862969704e+000
2.51767692775880e-001	1.86127681648023e+001,4.38763562042800e+000
2.52348077248052e-001	1.86082382196256e+001,4.40577932328212e+000
2.52929799644609e-001	1.86037135150757e+001,4.42395979637712e+000
2.53512863049785e-001	1.85991940134708e+001,4.44217709827063e+000
2.54097270554925e-001	1.85946796769144e+001,4.46043128797533e+000
2.54683025258499e-001	1.85901704672552e+001,4.47872242493960e+000
2.55270130266119e-001	1.85856663461276e+001,4.49705056907070e+000
2.55858588690559e-001	1.85811672749694e+001,4.51541578073789e+000
2.56448403651766e-001	1.85766732149524e+001,4.53381812074882e+000
2.57039578276881e-001	1.85721841270258e+001,4.55225765036402e+000
2.57632115700252e-001	1.85676999719228e+001,4.57073443130507e+000
2.58226019063454e-001	1.85632207101723e+001,4.58924852576115e+000
2.58821291515303e-001	1.85587463020387e+001,4.60779999635746e+000
2.59417936211876e-001	1.85542767076233e+001,4.62638890620912e+000
2.60015956316521e-001	1.85498118867378e+001,4.64501531886508e+000
2.60615354999884e-001	1.85453517990154e+001,4.66367929834817e+000
2.61216135439915e-001	1.85408964038894e+001,4.68238090916571e+000
2.61818300821893e-001	1.85364456605293e+001,4.70112021626065e+000
2.62421854338438e-001	1.85319995279098e+001,4.71989728506087e+000
