Freq.	V(vout)/(I(Itest)-I(RL))
1.45545908058195e-002	3.24982252673508e-002,3.12511274584677e-002
1.45881426027534e-002	3.24444251672668e-002,3.13329309102337e-002
1.46217717445671e-002	3.23903824489085e-002,3.14149911729044e-002
1.46554784095590e-002	3.23360960476729e-002,3.14973093178535e-002
1.46892627764385e-002	3.22815648945090e-002,3.15798864221786e-002
1.47231250243271e-002	3.22267879160626e-002,3.16627235690206e-002
1.47570653327588e-002	3.21717640345013e-002,3.17458218473196e-002
1.47910838816819e-002	3.21164921676521e-002,3.18291823521299e-002
1.48251808514594e-002	3.20609712288626e-002,3.19128061844023e-002
1.48593564228699e-002	3.20052001271178e-002,3.19966944513290e-002
1.48936107771090e-002	3.19491777667947e-002,3.20808482658758e-002
1.49279440957898e-002	3.18929030479329e-002,3.21652687474076e-002
1.49623565609442e-002	3.18363748660425e-002,3.22499570213928e-002
1.49968483550236e-002	3.17795921121022e-002,3.23349142194462e-002
1.50314196609001e-002	3.17225536726269e-002,3.24201414795227e-002
1.50660706618673e-002	3.16652584295670e-002,3.25056399458385e-002
1.51008015416413e-002	3.16077052603037e-002,3.25914107688491e-002
1.51356124843619e-002	3.15498930377083e-002,3.26774551055103e-002
1.51705036745932e-002	3.14918206300501e-002,3.27637741191662e-002
1.52054752973248e-002	3.14334869010159e-002,3.28503689795893e-002
1.52405275379728e-002	3.13748907096541e-002,3.29372408630238e-002
1.52756605823806e-002	3.13160309104698e-002,3.30243909523649e-002
1.53108746168202e-002	3.12569063532403e-002,3.31118204369270e-002
1.53461698279928e-002	3.11975158831437e-002,3.31995305127791e-002
1.53815464030302e-002	3.11378583407325e-002,3.32875223826945e-002
1.54170045294954e-002	3.10779325617457e-002,3.33757972558831e-002
1.54525443953840e-002	3.10177373773900e-002,3.34643563486903e-002
1.54881661891247e-002	3.09572716140989e-002,3.35532008840896e-002
1.55238700995807e-002	3.08965340935097e-002,3.36423320917576e-002
1.55596563160506e-002	3.08355236326040e-002,3.37317512084102e-002
1.55955250282694e-002	3.07742390436429e-002,3.38214594778084e-002
1.56314764264094e-002	3.07126791340136e-002,3.39114581504397e-002
1.56675107010813e-002	3.06508427063883e-002,3.40017484839568e-002
1.57036280433354e-002	3.05887285586748e-002,3.40923317431939e-002
1.57398286446620e-002	3.05263354838547e-002,3.41832091997599e-002
1.57761126969933e-002	3.04636622702117e-002,3.42743821328251e-002
1.58124803927037e-002	3.04007077010674e-002,3.43658518284171e-002
1.58489319246110e-002	3.03374705550421e-002,3.44576195802087e-002
1.58854674859776e-002	3.02739496056846e-002,3.45496866887097e-002
1.59220872705115e-002	3.02101436218821e-002,3.46420544622717e-002
1.59587914723672e-002	3.01460513674130e-002,3.47347242162103e-002
1.59955802861465e-002	3.00816716012622e-002,3.48276972735297e-002
1.60324539069002e-002	3.00170030775123e-002,3.49209749648323e-002
1.60694125301286e-002	2.99520445451677e-002,3.50145586279070e-002
1.61064563517825e-002	2.98867947484111e-002,3.51084496085029e-002
1.61435855682647e-002	2.98212524263691e-002,3.52026492597831e-002
1.61808003764305e-002	2.97554163132472e-002,3.52971589427862e-002
1.62181009735891e-002	2.96892851381685e-002,3.53919800261065e-002
1.62554875575047e-002	2.96228576253314e-002,3.54871138863422e-002
1.62929603263971e-002	2.95561324938184e-002,3.55825619077389e-002
1.63305194789432e-002	2.94891084576901e-002,3.56783254825060e-002
1.63681652142779e-002	2.94217842260636e-002,3.57744060110840e-002
1.64058977319952e-002	2.93541585027579e-002,3.58708049013732e-002
1.64437172321491e-002	2.92862299866997e-002,3.59675235698104e-002
1.64816239152549e-002	2.92179973715752e-002,3.60645634406053e-002
1.65196179822900e-002	2.91494593461270e-002,3.61619259465470e-002
1.65576996346951e-002	2.90806145937923e-002,3.62596125282256e-002
1.65958690743754e-002	2.90114617929245e-002,3.63576246346529e-002
1.66341265037015e-002	2.89419996167566e-002,3.64559637232806e-002
1.66724721255104e-002	2.88722267332959e-002,3.65546312597738e-002
1.67109061431069e-002	2.88021418053720e-002,3.66536287182860e-002
1.67494287602642e-002	2.87317434906854e-002,3.67529575816592e-002
1.67880401812254e-002	2.86610304416409e-002,3.68526193410432e-002
1.68267406107045e-002	2.85900013053571e-002,3.69526154960944e-002
1.68655302538872e-002	2.85186547238831e-002,3.70529475555546e-002
1.69044093164324e-002	2.84469893338540e-002,3.71536170364838e-002
1.69433780044731e-002	2.83750037667185e-002,3.72546254649291e-002
1.69824365246172e-002	2.83026966486233e-002,3.73559743757578e-002
1.70215850839493e-002	2.82300666003713e-002,3.74576653126003e-002
1.70608238900310e-002	2.81571122375494e-002,3.75596998282732e-002
1.71001531509027e-002	2.80838321703070e-002,3.76620794843601e-002
1.71395730750841e-002	2.80102250035513e-002,3.77648058517425e-002
1.71790838715757e-002	2.79362893367954e-002,3.78678805103200e-002
1.72186857498599e-002	2.78620237641367e-002,3.79713050490849e-002
1.72583789199018e-002	2.77874268743532e-002,3.80750810664350e-002
1.72981635921508e-002	2.77124972508367e-002,3.81792101700934e-002
1.73380399775412e-002	2.76372334715357e-002,3.82836939770808e-002
1.73780082874935e-002	2.75616341089889e-002,3.83885341138715e-002
1.74180687339159e-002	2.74856977303781e-002,3.84937322166500e-002
1.74582215292048e-002	2.74094228972937e-002,3.85992899308039e-002
1.74984668862464e-002	2.73328081659406e-002,3.87052089115155e-002
1.75388050184174e-002	2.72558520871079e-002,3.88114908238486e-002
1.75792361395867e-002	2.71785532060299e-002,3.89181373423865e-002
1.76197604641161e-002	2.71009100624202e-002,3.90251501515506e-002
1.76603782068614e-002	2.70229211906003e-002,3.91325309459107e-002
1.77010895831740e-002	2.69445851192248e-002,3.92402814296278e-002
1.77418948089014e-002	2.68659003715293e-002,3.93484033172206e-002
1.77827941003890e-002	2.67868654650653e-002,3.94568983329020e-002
1.78237876744807e-002	2.67074789120287e-002,3.95657682115994e-002
1.78648757485203e-002	2.66277392188171e-002,3.96750146978838e-002
1.79060585403527e-002	2.65476448864367e-002,3.97846395471280e-002
1.79473362683250e-002	2.64671944101416e-002,3.98946445246441e-002
1.79887091512877e-002	2.63863862796770e-002,4.00050314064577e-002
1.80301774085955e-002	2.63052189791669e-002,4.01158019790936e-002
1.80717412601090e-002	2.62236909870241e-002,4.02269580394411e-002
1.81134009261958e-002	2.61418007760322e-002,4.03385013950854e-002
1.81551566277311e-002	2.60595468134178e-002,4.04504338645705e-002
1.81970085860996e-002	2.59769275606686e-002,4.05627572770620e-002
1.82389570231961e-002	2.58939414735393e-002,4.06754734724367e-002
1.82810021614272e-002	2.58105870022362e-002,4.07885843018786e-002
1.83231442237119e-002	2.57268625910698e-002,4.09020916270620e-002
1.83653834334832e-002	2.56427666788410e-002,4.10159973213063e-002
1.84077200146893e-002	2.55582976984401e-002,4.11303032685396e-002
1.84501541917945e-002	2.54734540771923e-002,4.12450113644437e-002
1.84926861897805e-002	2.53882342365650e-002,4.13601235156329e-002
1.85353162341479e-002	2.53026365922973e-002,4.14756416402489e-002
1.85780445509167e-002	2.52166595543563e-002,4.15915676678103e-002
1.86208713666284e-002	2.51303015269993e-002,4.17079035396123e-002
1.86637969083464e-002	2.50435609085167e-002,4.18246512080537e-002
1.87068214036577e-002	2.49564360916570e-002,4.19418126379115e-002
1.87499450806739e-002	2.48689254631339e-002,4.20593898051219e-002
1.87931681680324e-002	2.47810274039370e-002,4.21773846977449e-002
1.88364908948977e-002	2.46927402892739e-002,4.22957993158690e-002
1.88799134909627e-002	2.46040624884064e-002,4.24146356712935e-002
1.89234361864495e-002	2.45149923648850e-002,4.25338957883184e-002
1.89670592121112e-002	2.44255282762418e-002,4.26535817029242e-002
1.90107827992327e-002	2.43356685742877e-002,4.27736954637744e-002
1.90546071796322e-002	2.42454116048610e-002,4.28942391315759e-002
1.90985325856621e-002	2.41547557079811e-002,4.30152147796606e-002
1.91425592502106e-002	2.40636992177428e-002,4.31366244937402e-002
1.91866874067026e-002	2.39722404623540e-002,4.32584703721716e-002
1.92309172891013e-002	2.38803777641194e-002,4.33807545260285e-002
1.92752491319091e-002	2.37881094394134e-002,4.35034790790511e-002
1.93196831701690e-002	2.36954337986303e-002,4.36266461677044e-002
1.93642196394658e-002	2.36023491463532e-002,4.37502579417481e-002
1.94088587759275e-002	2.35088537811223e-002,4.38743165636276e-002
1.94536008162263e-002	2.34149459956086e-002,4.39988242091581e-002
1.94984459975802e-002	2.33206240764323e-002,4.41237830670630e-002
1.95433945577537e-002	2.32258863043575e-002,4.42491953396550e-002
1.95884467350596e-002	2.31307309540471e-002,4.43750632422805e-002
1.96336027683602e-002	2.30351562943246e-002,4.45013890041008e-002
1.96788628970682e-002	2.29391605879952e-002,4.46281748677494e-002
1.97242273611482e-002	2.28427420917928e-002,4.47554230893075e-002
1.97696964011183e-002	2.27458990565737e-002,4.48831359388904e-002
1.98152702580507e-002	2.26486297270343e-002,4.50113157000191e-002
1.98609491735734e-002	2.25509323420786e-002,4.51399646707713e-002
1.99067333898716e-002	2.24528051344077e-002,4.52690851626947e-002
1.99526231496885e-002	2.23542463307938e-002,4.53986795017055e-002
1.99986186963271e-002	2.22552541520062e-002,4.55287500280033e-002
2.00447202736513e-002	2.21558268126715e-002,4.56592990957716e-002
2.00909281260870e-002	2.20559625215427e-002,4.57903290740730e-002
2.01372424986236e-002	2.19556594812476e-002,4.59218423461913e-002
2.01836636368153e-002	2.18549158882809e-002,4.60538413097969e-002
2.02301917867824e-002	2.17537299333191e-002,4.61863283778817e-002
2.02768271952125e-002	2.16520998008500e-002,4.63193059778718e-002
2.03235701093619e-002	2.15500236692319e-002,4.64527765518665e-002
2.03704207770569e-002	2.14474997109561e-002,4.65867425574957e-002
2.04173794466950e-002	2.13445260922745e-002,4.67212064670204e-002
2.04644463672464e-002	2.12411009735143e-002,4.68561707682819e-002
2.05116217882553e-002	2.11372225088800e-002,4.69916379642691e-002
2.05589059598411e-002	2.10328888465039e-002,4.71276105733783e-002
2.06062991326997e-002	2.09280981284750e-002,4.72640911296082e-002
2.06538015581050e-002	2.08228484907907e-002,4.74010821825133e-002
2.07014134879101e-002	2.07171380634345e-002,4.75385862975544e-002
2.07491351745488e-002	2.06109649702461e-002,4.76766060558408e-002
2.07969668710366e-002	2.05043273290093e-002,4.78151440544646e-002
2.08449088309725e-002	2.03972232514484e-002,4.79542029066344e-002
2.08929613085400e-002	2.02896508432835e-002,4.80937852419200e-002
2.09411245585086e-002	2.01816082039829e-002,4.82338937056529e-002
2.09893988362349e-002	2.00730934271668e-002,4.83745309602233e-002
2.10377843976644e-002	1.99641046002195e-002,4.85156996840318e-002
2.10862814993325e-002	1.98546398045133e-002,4.86574025722669e-002
2.11348903983661e-002	1.97446971154202e-002,4.87996423370698e-002
2.11836113524847e-002	1.96342746020671e-002,4.89424217068741e-002
2.12324446200018e-002	1.95233703277031e-002,4.90857434276426e-002
2.12813904598268e-002	1.94119823494588e-002,4.92296102622462e-002
2.13304491314654e-002	1.93001087183397e-002,4.93740249905609e-002
2.13796208950219e-002	1.91877474793712e-002,4.95189904099802e-002
2.14289060112002e-002	1.90748966715126e-002,4.96645093353012e-002
2.14783047413050e-002	1.89615543276771e-002,4.98105845988722e-002
2.15278173472434e-002	1.88477184746689e-002,4.99572190505234e-002
2.15774440915263e-002	1.87333871333882e-002,5.01044155582600e-002
2.16271852372698e-002	1.86185583186433e-002,5.02521770078550e-002
2.16770410481966e-002	1.85032300390897e-002,5.04005063027204e-002
2.17270117886371e-002	1.83874002975861e-002,5.05494063651124e-002
2.17770977235312e-002	1.82710670907990e-002,5.06988801350408e-002
2.18272991184296e-002	1.81542284094717e-002,5.08489305711839e-002
2.18776162394951e-002	1.80368822383199e-002,5.09995606506747e-002
2.19280493535041e-002	1.79190265560510e-002,5.11507733692785e-002
2.19785987278479e-002	1.78006593354637e-002,5.13025717417659e-002
2.20292646305342e-002	1.76817785432703e-002,5.14549588015195e-002
2.20800473301886e-002	1.75623821403163e-002,5.16079376012644e-002
2.21309470960560e-002	1.74424680814226e-002,5.17615112127155e-002
2.21819641980018e-002	1.73220343154584e-002,5.19156827268943e-002
2.22330989065136e-002	1.72010787854033e-002,5.20704552544227e-002
2.22843514927026e-002	1.70795994283014e-002,5.22258319254631e-002
2.23357222283049e-002	1.69575941752533e-002,5.23818158898299e-002
2.23872113856830e-002	1.68350609514318e-002,5.25384103171118e-002
2.24388192378273e-002	1.67119976761546e-002,5.26956183969910e-002
2.24905460583574e-002	1.65884022629416e-002,5.28534433395288e-002
2.25423921215239e-002	1.64642726192814e-002,5.30118883745566e-002
2.25943577022094e-002	1.63396066469122e-002,5.31709567526104e-002
2.26464430759302e-002	1.62144022417313e-002,5.33306517447608e-002
2.26986485188378e-002	1.60886572937781e-002,5.34909766426586e-002
2.27509743077203e-002	1.59623696873034e-002,5.36519347588485e-002
2.28034207200038e-002	1.58355373007230e-002,5.38135294266994e-002
2.28559880337539e-002	1.57081580068021e-002,5.39757640010919e-002
2.29086765276773e-002	1.55802296723784e-002,5.41386418576433e-002
2.29614864811232e-002	1.54517501586950e-002,5.43021663938235e-002
2.30144181740846e-002	1.53227173212132e-002,5.44663410284749e-002
2.30674718872003e-002	1.51931290096458e-002,5.46311692020106e-002
2.31206479017555e-002	1.50629830680539e-002,5.47966543767931e-002
2.31739464996843e-002	1.49322773349281e-002,5.49628000374764e-002
2.32273679635706e-002	1.48010096429255e-002,5.51296096902819e-002
2.32809125766496e-002	1.46691778192650e-002,5.52970868643073e-002
2.33345806228096e-002	1.45367796854209e-002,5.54652351106745e-002
2.33883723865931e-002	1.44038130574103e-002,5.56340580034798e-002
2.34422881531988e-002	1.42702757456032e-002,5.58035591393190e-002
2.34963282084826e-002	1.41361655548817e-002,5.59737421378408e-002
2.35504928389596e-002	1.40014802846057e-002,5.61446106417377e-002
2.36047823318053e-002	1.38662177286342e-002,5.63161683168808e-002
2.36591969748571e-002	1.37303756754794e-002,5.64884188528950e-002
2.37137370566161e-002	1.35939519080133e-002,5.66613659623003e-002
2.37684028662483e-002	1.34569442039361e-002,5.68350133820779e-002
2.38231946935864e-002	1.33193503354017e-002,5.70093648725549e-002
2.38781128291313e-002	1.31811680693652e-002,5.71844242185693e-002
2.39331575640534e-002	1.30423951672687e-002,5.73601952285775e-002
2.39883291901944e-002	1.29030293854919e-002,5.75366817361101e-002
2.40436280000688e-002	1.27630684749684e-002,5.77138875986689e-002
2.40990542868655e-002	1.26225101815907e-002,5.78918166990373e-002
2.41546083444489e-002	1.24813522458374e-002,5.80704729442103e-002
2.42102904673613e-002	1.23395924032474e-002,5.82498602669251e-002
2.42661009508237e-002	1.21972283841136e-002,5.84299826247791e-002
2.43220400907377e-002	1.20542579136526e-002,5.86108440008190e-002
2.43781081836870e-002	1.19106787120806e-002,5.87924484038474e-002
2.44343055269392e-002	1.17664884945432e-002,5.89747998682560e-002
2.44906324184469e-002	1.16216849712095e-002,5.91579024544012e-002
2.45470891568498e-002	1.14762658473466e-002,5.93417602488636e-002
2.46036760414758e-002	1.13302288232661e-002,5.95263773643717e-002
2.46603933723429e-002	1.11835715944668e-002,5.97117579402818e-002
2.47172414501608e-002	1.10362918516503e-002,5.98979061426860e-002
2.47742205763323e-002	1.08883872806339e-002,6.00848261642026e-002
2.48313310529552e-002	1.07398555626649e-002,6.02725222249963e-002
2.48885731828234e-002	1.05906943740660e-002,6.04609985717219e-002
2.49459472694290e-002	1.04409013867392e-002,6.06502594791535e-002
2.50034536169638e-002	1.02904742678566e-002,6.08403092492677e-002
2.50610925303206e-002	1.01394106800816e-002,6.10311522119635e-002
2.51188643150953e-002	9.98770828158410e-003,6.12227927251620e-002
2.51767692775880e-002	9.83536472600206e-003,6.14152351747342e-002
2.52348077248052e-002	9.68237766269047e-003,6.16084839753045e-002
2.52929799644609e-002	9.52874473644663e-003,6.18025435694261e-002
2.53512863049785e-002	9.37446358802085e-003,6.19974184292389e-002
2.54097270554925e-002	9.21953185368696e-003,6.21931130551276e-002
2.54683025258499e-002	9.06394716563668e-003,6.23896319770078e-002
2.55270130266119e-002	8.90770715191458e-003,6.25869797541388e-002
2.55858588690559e-002	8.75080943644565e-003,6.27851609752463e-002
2.56448403651766e-002	8.59325163905074e-003,6.29841802585724e-002
2.57039578276881e-002	8.43503137574144e-003,6.31840422528659e-002
2.57632115700252e-002	8.27614625851966e-003,6.33847516367288e-002
2.58226019063454e-002	8.11659389552490e-003,6.35863131191191e-002
2.58821291515304e-002	7.95637189109868e-003,6.37887314395490e-002
2.59417936211876e-002	7.79547784596690e-003,6.39920113687123e-002
2.60015956316522e-002	7.63390935704341e-003,6.41961577078204e-002
2.60615354999884e-002	7.47166401774102e-003,6.44011752896265e-002
2.61216135439915e-002	7.30873941791057e-003,6.46070689782205e-002
2.61818300821893e-002	7.14513314391073e-003,6.48138436692740e-002
2.62421854338438e-002	6.98084277874701e-003,6.50215042904347e-002
2.63026799189532e-002	6.81586590212525e-003,6.52300558015425e-002
