time	-I(Rl)	V(vout)
0.000000000000000e+00	1.010747e-09	9.996056e+00
6.835937149674010e-09	1.010747e-09	9.996056e+00
1.367187429934802e-08	1.010747e-09	9.996056e+00
2.734374859869604e-08	1.010747e-09	9.996056e+00
5.468749719739208e-08	1.010747e-09	9.996056e+00
1.093749943947842e-07	1.010747e-09	9.996056e+00
2.187499887895683e-07	1.010747e-09	9.996056e+00
1.749999910316546e-06	1.010747e-09	9.996056e+00
1.993164062500000e-03	1.010747e-09	9.996056e+00
2.000000000000000e-03	1.010747e-09	9.996056e+00
2.000000125244618e-03	1.077905e+01	4.452505e+00
2.000001125244618e-03	1.476230e+01	1.476230e-02
2.000002125244617e-03	1.255429e+01	1.255429e-02
2.000003125244617e-03	1.208741e+01	1.208741e-02
2.000004125244617e-03	1.184530e+01	1.184531e-02
2.000005125244617e-03	1.174440e+01	1.174440e-02
2.000006125244617e-03	1.172259e+01	1.172259e-02
2.000006125244687e-03	1.172272e+01	1.172272e-02
2.000006125244825e-03	1.172299e+01	1.172299e-02
2.000006125244884e-03	1.172299e+01	1.172299e-02
2.000006125244944e-03	1.172299e+01	1.172299e-02
2.000006125245003e-03	1.172299e+01	1.172299e-02
2.000006125245122e-03	1.172299e+01	1.172299e-02
2.000006125245599e-03	1.172299e+01	1.172299e-02
2.000006125245719e-03	1.172299e+01	1.172299e-02
2.000006125245957e-03	1.172299e+01	1.172299e-02
2.000006250246017e-03	1.172428e+01	1.172428e-02
2.000007250246016e-03	1.179574e+01	1.179574e-02
2.000008250246016e-03	1.188694e+01	1.188694e-02
2.000008265871016e-03	1.188858e+01	1.188858e-02
2.000009265871016e-03	1.199232e+01	1.199232e-02
2.000010265871016e-03	1.208460e+01	1.208460e-02
2.000011265871016e-03	1.216557e+01	1.216557e-02
2.000011266115157e-03	1.216583e+01	1.216583e-02
2.000011266116110e-03	1.216580e+01	1.216580e-02
2.000011266119925e-03	1.216569e+01	1.216569e-02
2.000011266120044e-03	1.216569e+01	1.216569e-02
2.000012266120044e-03	1.221843e+01	1.221843e-02
2.000013266120044e-03	1.226019e+01	1.226019e-02
2.000014266120044e-03	1.228984e+01	1.228985e-02
2.000015266120044e-03	1.231094e+01	1.231094e-02
2.000016266120044e-03	1.232701e+01	1.232701e-02
2.000016391120044e-03	1.232896e+01	1.232896e-02
