time	-I(Rl)	V(vout)
2.000480925727151e-03	5.718074e+01	5.718074e-02
2.000502058044343e-03	5.704039e+01	5.704039e-02
2.000537868656045e-03	5.670389e+01	5.670390e-02
2.000556772376710e-03	5.648480e+01	5.648481e-02
2.000570899175778e-03	5.629701e+01	5.629702e-02
2.000587328795138e-03	5.605961e+01	5.605961e-02
2.000605339522506e-03	5.577801e+01	5.577801e-02
2.000625805659440e-03	5.542876e+01	5.542877e-02
2.000649398413289e-03	5.498113e+01	5.498113e-02
2.000680075536157e-03	5.432825e+01	5.432826e-02
2.000702342139445e-03	5.379268e+01	5.379268e-02
2.000722864573752e-03	5.323250e+01	5.323251e-02
2.000745169444563e-03	5.254296e+01	5.254297e-02
2.000769283466191e-03	5.169614e+01	5.169614e-02
2.000792375621141e-03	5.077586e+01	5.077587e-02
2.000815675928495e-03	4.972512e+01	4.972512e-02
2.000849909358563e-03	4.800833e+01	4.800833e-02
2.000899471289309e-03	4.535483e+01	4.535484e-02
2.000953693266592e-03	4.241550e+01	4.241550e-02
2.001018956261602e-03	3.898885e+01	3.898885e-02
2.001086012951575e-03	3.565114e+01	3.565114e-02
2.001155408120664e-03	3.238360e+01	3.238361e-02
2.001236275439383e-03	2.876213e+01	2.876213e-02
2.001315676414499e-03	2.545271e+01	2.545272e-02
2.001388690655517e-03	2.287325e+01	2.287325e-02
2.001480815829880e-03	2.032352e+01	2.032352e-02
2.001533799746384e-03	1.918903e+01	1.918903e-02
2.001586437394213e-03	1.829036e+01	1.829036e-02
2.001642879165876e-03	1.746876e+01	1.746876e-02
2.001699643450634e-03	1.675646e+01	1.675646e-02
2.001759671601269e-03	1.609818e+01	1.609819e-02
2.001797201617700e-03	1.573131e+01	1.573131e-02
2.001832074831933e-03	1.541644e+01	1.541644e-02
2.001862414519043e-03	1.515759e+01	1.515759e-02
2.001899516500132e-03	1.486195e+01	1.486195e-02
2.001951088590199e-03	1.448151e+01	1.448151e-02
2.002011278662057e-03	1.407719e+01	1.407719e-02
2.002095444449557e-03	1.356932e+01	1.356932e-02
2.002183958613293e-03	1.309388e+01	1.309389e-02
2.002287594144618e-03	1.260239e+01	1.260239e-02
2.002403055402507e-03	1.211256e+01	1.211256e-02
2.002472313322234e-03	1.184396e+01	1.184397e-02
2.002506763260909e-03	1.171901e+01	1.171901e-02
2.002543296090973e-03	1.159228e+01	1.159228e-02
2.002587028027950e-03	1.144613e+01	1.144613e-02
2.002635435481450e-03	1.129068e+01	1.129068e-02
