time	-I(Rl)	V(vout)
0.000000000000000e+00	1.010747e-09	9.996056e+00
6.835937149674010e-09	1.010747e-09	9.996056e+00
1.367187811404528e-08	1.015188e-09	9.996077e+00
1.467187906771960e-08	1.044498e-09	9.996077e+00
1.567187906771960e-08	1.172396e-09	9.996066e+00
1.667187906771960e-08	1.329603e-09	9.996056e+00
1.767187906771960e-08	1.174616e-09	9.996056e+00
1.867187906771960e-08	1.018149e-09	9.996056e+00
2.067187906771960e-08	1.015188e-09	9.996056e+00
2.167187906771960e-08	1.015188e-09	9.996056e+00
2.367187906771960e-08	1.435000e-09	9.996056e+00
2.467187906771960e-08	1.661782e-09	9.996056e+00
2.567187906771960e-08	1.467271e-09	9.996056e+00
2.767187906771960e-08	1.017497e-09	9.996056e+00
2.817187906771960e-08	1.012227e-09	9.996056e+00
2.917187906771960e-08	1.015188e-09	9.996077e+00
2.917188049823107e-08	1.044498e-09	9.996097e+00
3.017188049823107e-08	1.047458e-09	9.996069e+00
3.217188049823107e-08	1.015264e-09	9.996067e+00
3.218750645190539e-08	1.015188e-09	9.996091e+00
3.318750645190539e-08	1.044498e-09	9.996077e+00
3.318750788241687e-08	1.015188e-09	9.996098e+00
3.418750788241687e-08	1.029399e-09	9.996061e+00
3.431250788241687e-08	1.028313e-09	9.996059e+00
3.531250788241687e-08	1.034284e-09	9.996058e+00
3.631250883609119e-08	1.044498e-09	9.996077e+00
3.731250883609119e-08	1.051603e-09	9.996066e+00
3.831250883609120e-08	1.047458e-09	9.996056e+00
4.031250883609119e-08	1.020221e-09	9.996056e+00
4.431250883609120e-08	1.014300e-09	9.996056e+00
4.531250883609120e-08	1.017408e-09	9.996057e+00
4.631250883609120e-08	1.019629e-09	9.996057e+00
4.731250883609120e-08	1.019629e-09	9.996056e+00
4.831250883609121e-08	1.034284e-09	9.996056e+00
4.931250883609121e-08	1.047458e-09	9.996056e+00
5.131250883609121e-08	1.033248e-09	9.996056e+00
5.531250883609121e-08	1.010747e-09	9.996056e+00
6.331250883609121e-08	1.010747e-09	9.996056e+00
7.931250883609121e-08	1.010747e-09	9.996056e+00
1.113125088360912e-07	1.010747e-09	9.996056e+00
1.753125088360912e-07	1.010747e-09	9.996056e+00
3.033125088360913e-07	1.010747e-09	9.996056e+00
5.593125088360913e-07	1.010747e-09	9.996056e+00
